                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:41,2013/08/03T21:21:41,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:44,2013/08/03T21:21:44,         23.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:44,2013/08/03T21:21:45,         10.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:45,2013/08/03T21:21:45,          4.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:47,2013/08/03T21:21:47,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:21:49,2013/08/03T21:21:49,          6.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:00,2013/08/03T21:22:00,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:02,2013/08/03T21:22:03,          4.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:05,2013/08/03T21:22:05,         13.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:15,2013/08/03T21:22:15,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:27,2013/08/03T21:22:27,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:28,2013/08/03T21:22:28,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:29,2013/08/03T21:22:29,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:32,2013/08/03T21:22:32,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:35,2013/08/03T21:22:35,         10.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:37,2013/08/03T21:22:38,          8.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:38,2013/08/03T21:22:38,          3.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:44,2013/08/03T21:22:44,          6.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:45,2013/08/03T21:22:46,          9.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:46,2013/08/03T21:22:46,          1.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:47,2013/08/03T21:22:47,         32.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:47,2013/08/03T21:23:47,          0.200,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:48,2013/08/03T21:22:48,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:50,2013/08/03T21:22:50,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:51,2013/08/03T21:22:51,         14.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:55,2013/08/03T21:22:55,         10.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:56,2013/08/03T21:22:56,         28.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:58,2013/08/03T21:22:58,          9.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:22:59,2013/08/03T21:22:59,         12.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:01,2013/08/03T21:23:01,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:02,2013/08/03T21:23:02,         12.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:04,2013/08/03T21:23:15,          0.818,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:05,2013/08/03T21:23:05,         10.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:08,2013/08/03T21:23:18,          0.700,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:12,2013/08/03T21:23:12,         15.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:13,2013/08/03T21:23:13,         11.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:14,2013/08/03T21:23:14,          6.000,
                              10.5.15.2,                              10.5.19.2,2013/08/03T21:23:15,2013/08/03T21:23:15,         10.000,
