                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:39,2013/08/03T21:21:39,          9.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:45,2013/08/03T21:21:45,         10.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:46,2013/08/03T21:21:47,          8.500,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:47,2013/08/03T21:21:47,         13.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:48,2013/08/03T21:21:48,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:52,2013/08/03T21:21:52,         10.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:52,2013/08/03T21:21:53,          8.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:21:53,2013/08/03T21:21:53,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:01,2013/08/03T21:22:01,         12.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:02,2013/08/03T21:22:02,         12.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:04,2013/08/03T21:22:04,         13.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:05,2013/08/03T21:22:05,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:16,2013/08/03T21:22:16,          7.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:18,2013/08/03T21:22:18,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:19,2013/08/03T21:22:19,         10.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:20,2013/08/03T21:22:20,          6.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:21,2013/08/03T21:22:21,         14.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:25,2013/08/03T21:22:25,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:27,2013/08/03T21:22:27,         12.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:28,2013/08/03T21:22:28,         10.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:30,2013/08/03T21:22:30,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:31,2013/08/03T21:22:31,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:34,2013/08/03T21:22:34,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:42,2013/08/03T21:22:43,          9.000,
                              10.5.15.2,                               10.5.1.2,2013/08/03T21:22:43,2013/08/03T21:22:43,         22.000,
