                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:43,2013/08/03T21:21:43,         14.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:44,2013/08/03T21:21:44,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:46,2013/08/03T21:21:46,         13.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:49,2013/08/03T21:21:49,         26.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:54,2013/08/03T21:21:54,         13.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:55,2013/08/03T21:21:56,          7.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:21:56,2013/08/03T21:21:56,          1.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:03,2013/08/03T21:22:03,          6.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:03,2013/08/03T21:22:33,          1.567,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:10,2013/08/03T21:22:10,          7.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:14,2013/08/03T21:22:14,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:20,2013/08/03T21:22:22,          2.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:29,2013/08/03T21:22:32,          2.333,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:30,2013/08/03T21:22:30,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:32,2013/08/03T21:22:32,          3.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:33,2013/08/03T21:22:33,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:34,2013/08/03T21:22:34,         13.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:37,2013/08/03T21:22:37,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:38,2013/08/03T21:22:38,          7.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:55,2013/08/03T21:22:55,         18.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:22:58,2013/08/03T21:22:58,         12.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:00,2013/08/03T21:23:00,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:05,2013/08/03T21:23:05,          5.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:06,2013/08/03T21:23:06,          4.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:07,2013/08/03T21:23:07,          8.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:14,2013/08/03T21:23:14,         11.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:16,2013/08/03T21:23:16,         31.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:17,2013/08/03T21:23:17,         22.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:19,2013/08/03T21:23:19,         12.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:20,2013/08/03T21:23:20,          7.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:24,2013/08/03T21:23:24,          9.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:28,2013/08/03T21:23:28,          7.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:29,2013/08/03T21:23:30,          4.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:33,2013/08/03T21:23:33,         16.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:34,2013/08/03T21:23:34,         13.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:40,2013/08/03T21:23:40,          9.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:42,2013/08/03T21:23:42,         13.000,
                              10.5.15.2,                               10.5.6.2,2013/08/03T21:23:51,2013/08/03T21:23:51,         11.000,
