                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:39,2013/08/03T21:21:39,         20.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:40,2013/08/03T21:21:40,         12.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:41,2013/08/03T21:21:41,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:45,2013/08/03T21:21:45,          5.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:52,2013/08/03T21:21:52,         11.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:59,2013/08/03T21:21:59,          4.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:21:59,2013/08/03T21:22:44,          0.178,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:00,2013/08/03T21:22:00,         11.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:01,2013/08/03T21:22:01,          8.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:10,2013/08/03T21:22:10,         12.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:13,2013/08/03T21:22:14,          8.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:14,2013/08/03T21:22:14,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:17,2013/08/03T21:22:17,         31.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:26,2013/08/03T21:22:26,         12.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:27,2013/08/03T21:22:27,          9.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:28,2013/08/03T21:22:28,          9.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:32,2013/08/03T21:22:32,         13.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:33,2013/08/03T21:22:36,         16.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:37,2013/08/03T21:22:37,         12.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:43,2013/08/03T21:22:43,          7.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:46,2013/08/03T21:22:46,         21.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:46,2013/08/03T21:22:47,          7.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:47,2013/08/03T21:22:47,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:52,2013/08/03T21:22:52,         27.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:53,2013/08/03T21:22:53,         11.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:54,2013/08/03T21:22:54,         14.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:57,2013/08/03T21:22:57,         27.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:58,2013/08/03T21:22:58,          6.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:22:59,2013/08/03T21:22:59,          6.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:23:00,2013/08/03T21:23:00,         13.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:23:03,2013/08/03T21:23:04,          8.000,
                              10.5.15.2,                              10.5.14.2,2013/08/03T21:23:04,2013/08/03T21:23:04,         13.000,
