                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:39,2013/08/03T21:21:40,          8.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:40,2013/08/03T21:21:40,          1.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:45,2013/08/03T21:21:45,         12.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:46,2013/08/03T21:21:46,         18.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:54,2013/08/03T21:21:54,          7.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:21:55,2013/08/03T21:21:55,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:03,2013/08/03T21:22:03,         21.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:13,2013/08/03T21:22:13,          8.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:15,2013/08/03T21:22:15,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:16,2013/08/03T21:22:17,          8.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:18,2013/08/03T21:22:18,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:29,2013/08/03T21:22:29,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:35,2013/08/03T21:22:36,          3.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:36,2013/08/03T21:22:36,          4.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:40,2013/08/03T21:22:40,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:45,2013/08/03T21:22:45,          7.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:50,2013/08/03T21:22:50,         12.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:51,2013/08/03T21:22:51,         16.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:56,2013/08/03T21:22:56,          8.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:57,2013/08/03T21:22:57,         24.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:22:59,2013/08/03T21:22:59,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:00,2013/08/03T21:23:00,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:01,2013/08/03T21:23:01,          9.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:05,2013/08/03T21:23:11,        343.500,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:06,2013/08/03T21:23:06,         12.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:07,2013/08/03T21:23:07,          6.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:08,2013/08/03T21:23:10,         29.500,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:14,2013/08/03T21:23:14,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:15,2013/08/03T21:23:15,         12.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:18,2013/08/03T21:23:18,         25.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:25,2013/08/03T21:23:25,         14.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:27,2013/08/03T21:23:27,         12.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:28,2013/08/03T21:23:28,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:29,2013/08/03T21:23:29,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:33,2013/08/03T21:23:33,          7.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:36,2013/08/03T21:23:36,         16.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:38,2013/08/03T21:23:38,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:39,2013/08/03T21:23:39,         11.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:39,2013/08/03T21:23:40,          7.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:40,2013/08/03T21:23:40,          5.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:41,2013/08/03T21:23:41,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:45,2013/08/03T21:23:45,         26.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:47,2013/08/03T21:23:47,          9.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:47,2013/08/03T21:23:53,          0.833,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:48,2013/08/03T21:23:48,         18.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:50,2013/08/03T21:23:50,          8.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:53,2013/08/03T21:23:53,         14.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:54,2013/08/03T21:23:54,         15.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:23:55,2013/08/03T21:23:55,         13.000,
                              10.5.15.2,                              10.5.10.2,2013/08/03T21:24:05,2013/08/03T21:24:06,          2.000,
