                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:39,2013/08/03T21:21:40,          8.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:40,2013/08/03T21:21:40,          8.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:40,2013/08/03T21:21:42,         71.500,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:42,2013/08/03T21:21:42,         14.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:51,2013/08/03T21:21:51,         21.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:21:52,2013/08/03T21:21:52,          5.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:03,2013/08/03T21:22:03,         19.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:05,2013/08/03T21:22:05,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:14,2013/08/03T21:22:14,          9.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:15,2013/08/03T21:22:15,          7.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:18,2013/08/03T21:22:18,         13.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:19,2013/08/03T21:22:19,          7.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:20,2013/08/03T21:22:22,         30.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:28,2013/08/03T21:22:30,          8.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:30,2013/08/03T21:22:30,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:30,2013/08/03T21:22:31,          8.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:31,2013/08/03T21:22:31,          3.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:32,2013/08/03T21:22:32,          9.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:33,2013/08/03T21:23:03,          0.567,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:34,2013/08/03T21:22:34,         10.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:37,2013/08/03T21:22:43,          6.167,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:44,2013/08/03T21:22:44,         13.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:44,2013/08/03T21:22:45,         18.000,
                              10.5.15.2,                               10.5.3.2,2013/08/03T21:22:49,2013/08/03T21:22:49,         10.000,
