                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:39,2013/08/03T21:21:39,          6.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:39,2013/08/03T21:21:41,          8.500,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:41,2013/08/03T21:21:41,          1.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:42,2013/08/03T21:21:42,         23.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:46,2013/08/03T21:21:46,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:21:54,2013/08/03T21:21:54,         16.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:01,2013/08/03T21:22:01,         10.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:03,2013/08/03T21:22:03,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:04,2013/08/03T21:22:04,          6.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:10,2013/08/03T21:22:17,          5.286,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:12,2013/08/03T21:22:12,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:19,2013/08/03T21:22:19,         14.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:23,2013/08/03T21:22:23,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:25,2013/08/03T21:22:25,          9.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:27,2013/08/03T21:22:27,          7.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:31,2013/08/03T21:22:31,          5.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:32,2013/08/03T21:22:32,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:34,2013/08/03T21:22:45,          0.818,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:39,2013/08/03T21:22:39,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:44,2013/08/03T21:22:45,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:45,2013/08/03T21:22:45,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:49,2013/08/03T21:22:49,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:50,2013/08/03T21:22:50,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:52,2013/08/03T21:22:52,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:54,2013/08/03T21:22:54,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:22:59,2013/08/03T21:22:59,         10.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:01,2013/08/03T21:23:01,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:03,2013/08/03T21:23:03,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:03,2013/08/03T21:23:06,         15.667,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:15,2013/08/03T21:23:15,         17.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:17,2013/08/03T21:23:17,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:17,2013/08/03T21:23:19,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:18,2013/08/03T21:23:18,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:19,2013/08/03T21:23:19,          1.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:20,2013/08/03T21:23:20,          6.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:29,2013/08/03T21:23:29,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:33,2013/08/03T21:23:33,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:35,2013/08/03T21:23:36,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:36,2013/08/03T21:23:36,          3.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:40,2013/08/03T21:23:40,          6.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:44,2013/08/03T21:23:44,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:46,2013/08/03T21:23:46,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:49,2013/08/03T21:23:49,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:50,2013/08/03T21:23:50,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:23:53,2013/08/03T21:23:53,         16.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:08,2013/08/03T21:24:08,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:09,2013/08/03T21:24:09,         22.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:11,2013/08/03T21:24:11,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:14,2013/08/03T21:24:14,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:15,2013/08/03T21:24:15,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:17,2013/08/03T21:24:17,         19.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:20,2013/08/03T21:24:20,         13.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:20,2013/08/03T21:24:21,          6.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:21,2013/08/03T21:24:21,          7.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:29,2013/08/03T21:24:29,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:29,2013/08/03T21:24:30,          4.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:30,2013/08/03T21:24:30,          1.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:32,2013/08/03T21:24:32,         11.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:33,2013/08/03T21:24:33,         21.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:34,2013/08/03T21:24:34,         12.000,
                              10.5.15.2,                               10.5.9.2,2013/08/03T21:24:37,2013/08/03T21:24:37,          1.000,
