                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:40,2013/08/03T21:21:40,         19.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:41,2013/08/03T21:21:41,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:42,2013/08/03T21:21:42,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:43,2013/08/03T21:21:43,         23.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:46,2013/08/03T21:21:47,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:46,2013/08/03T21:22:47,          0.197,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:47,2013/08/03T21:21:47,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:21:48,2013/08/03T21:21:48,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:00,2013/08/03T21:22:00,         15.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:02,2013/08/03T21:22:02,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:03,2013/08/03T21:22:03,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:11,2013/08/03T21:22:11,         31.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:14,2013/08/03T21:22:14,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:15,2013/08/03T21:22:16,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:16,2013/08/03T21:22:16,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:17,2013/08/03T21:22:17,         14.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:21,2013/08/03T21:22:21,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:24,2013/08/03T21:22:24,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:26,2013/08/03T21:22:26,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:27,2013/08/03T21:22:27,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:34,2013/08/03T21:22:34,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:40,2013/08/03T21:22:40,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:41,2013/08/03T21:22:41,          7.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:45,2013/08/03T21:22:45,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:45,2013/08/03T21:22:46,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:46,2013/08/03T21:22:46,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:47,2013/08/03T21:22:47,         15.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:22:49,2013/08/03T21:22:49,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:01,2013/08/03T21:23:01,         20.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:02,2013/08/03T21:23:02,         21.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:02,2013/08/03T21:23:08,          2.167,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:04,2013/08/03T21:23:04,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:06,2013/08/03T21:23:08,          3.500,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:09,2013/08/03T21:23:09,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:13,2013/08/03T21:23:14,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:14,2013/08/03T21:23:14,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:22,2013/08/03T21:23:23,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:23,2013/08/03T21:23:23,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:25,2013/08/03T21:23:25,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:26,2013/08/03T21:23:26,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:28,2013/08/03T21:23:28,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:33,2013/08/03T21:23:33,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:35,2013/08/03T21:23:35,         14.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:35,2013/08/03T21:23:41,          0.833,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:36,2013/08/03T21:23:36,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:40,2013/08/03T21:23:40,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:41,2013/08/03T21:23:47,          6.167,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:42,2013/08/03T21:23:42,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:43,2013/08/03T21:23:43,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:44,2013/08/03T21:23:44,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:45,2013/08/03T21:23:45,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:48,2013/08/03T21:23:48,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:23:54,2013/08/03T21:23:54,         22.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:06,2013/08/03T21:24:06,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:16,2013/08/03T21:24:16,          7.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:17,2013/08/03T21:24:17,         31.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:23,2013/08/03T21:24:23,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:28,2013/08/03T21:24:28,          7.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:39,2013/08/03T21:24:39,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:40,2013/08/03T21:24:40,         14.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:42,2013/08/03T21:24:42,         19.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:43,2013/08/03T21:24:43,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:44,2013/08/03T21:24:44,         16.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:48,2013/08/03T21:24:48,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:56,2013/08/03T21:25:00,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:24:58,2013/08/03T21:24:58,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:00,2013/08/03T21:25:00,         14.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:01,2013/08/03T21:25:01,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:04,2013/08/03T21:25:04,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:09,2013/08/03T21:25:09,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:10,2013/08/03T21:25:10,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:19,2013/08/03T21:25:20,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:20,2013/08/03T21:25:20,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:23,2013/08/03T21:25:23,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:25,2013/08/03T21:25:25,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:49,2013/08/03T21:25:49,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:50,2013/08/03T21:25:50,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:51,2013/08/03T21:25:51,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:53,2013/08/03T21:25:53,         12.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:54,2013/08/03T21:25:54,         20.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:25:55,2013/08/03T21:25:55,          5.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:04,2013/08/03T21:26:04,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:04,2013/08/03T21:26:10,        315.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:09,2013/08/03T21:26:09,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:11,2013/08/03T21:26:11,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:12,2013/08/03T21:26:12,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:13,2013/08/03T21:26:13,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:14,2013/08/03T21:26:14,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:15,2013/08/03T21:26:15,         23.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:17,2013/08/03T21:26:17,          7.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:21,2013/08/03T21:26:21,         13.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:24,2013/08/03T21:26:24,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:32,2013/08/03T21:26:32,         10.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:36,2013/08/03T21:26:36,         11.000,
                              10.5.15.2,                               10.5.5.2,2013/08/03T21:26:36,2013/08/03T21:26:37,          8.000,
