                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:44,2013/08/03T21:21:44,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:48,2013/08/03T21:21:48,         17.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:50,2013/08/03T21:21:50,          3.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:51,2013/08/03T21:21:51,          9.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:52,2013/08/03T21:21:52,          9.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:21:55,2013/08/03T21:21:55,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:03,2013/08/03T21:22:33,          0.467,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:12,2013/08/03T21:22:12,         12.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:13,2013/08/03T21:22:14,          8.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:14,2013/08/03T21:22:14,          1.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:18,2013/08/03T21:22:18,          9.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:21,2013/08/03T21:22:22,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:22,2013/08/03T21:22:22,          1.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:25,2013/08/03T21:22:25,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:29,2013/08/03T21:22:29,          7.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:30,2013/08/03T21:22:30,         12.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:34,2013/08/03T21:22:34,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:34,2013/08/03T21:22:35,          6.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:35,2013/08/03T21:22:35,          1.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:42,2013/08/03T21:22:42,         11.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:44,2013/08/03T21:22:44,         12.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:45,2013/08/03T21:22:45,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:51,2013/08/03T21:22:51,         14.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:54,2013/08/03T21:22:54,         22.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:22:57,2013/08/03T21:22:57,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:00,2013/08/03T21:23:00,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:02,2013/08/03T21:23:02,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:06,2013/08/03T21:23:06,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:08,2013/08/03T21:23:08,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:09,2013/08/03T21:23:09,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:10,2013/08/03T21:23:10,         24.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:14,2013/08/03T21:23:14,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:17,2013/08/03T21:23:17,          7.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:18,2013/08/03T21:23:18,         14.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:19,2013/08/03T21:23:19,         12.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:21,2013/08/03T21:23:21,         10.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:25,2013/08/03T21:23:25,         14.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:29,2013/08/03T21:23:29,          7.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:32,2013/08/03T21:23:32,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:36,2013/08/03T21:23:36,          7.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:39,2013/08/03T21:23:39,          6.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:42,2013/08/03T21:23:42,         37.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:45,2013/08/03T21:23:45,          9.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:46,2013/08/03T21:23:47,          8.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:47,2013/08/03T21:23:47,         21.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:48,2013/08/03T21:23:48,          9.000,
                              10.5.15.2,                              10.5.17.2,2013/08/03T21:23:52,2013/08/03T21:23:52,         11.000,
