                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:39,2013/08/03T21:21:39,         14.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:40,2013/08/03T21:21:42,          4.500,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:42,2013/08/03T21:21:42,         13.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:44,2013/08/03T21:21:44,         11.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:46,2013/08/03T21:21:46,         18.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:48,2013/08/03T21:21:48,          1.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:21:56,2013/08/03T21:21:56,          3.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:03,2013/08/03T21:22:33,          1.667,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:04,2013/08/03T21:22:04,          2.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:14,2013/08/03T21:22:14,         13.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:15,2013/08/03T21:22:15,          5.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:23,2013/08/03T21:22:23,          6.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:26,2013/08/03T21:22:26,          9.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:27,2013/08/03T21:22:27,         13.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:27,2013/08/03T21:22:28,          7.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:28,2013/08/03T21:22:28,          1.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:31,2013/08/03T21:22:31,         11.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:32,2013/08/03T21:22:32,         10.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:33,2013/08/03T21:22:34,         10.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:34,2013/08/03T21:22:34,          6.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:35,2013/08/03T21:22:35,         12.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:36,2013/08/03T21:22:36,         10.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:37,2013/08/03T21:22:37,          9.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:39,2013/08/03T21:22:39,         11.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:40,2013/08/03T21:22:40,         11.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:42,2013/08/03T21:22:42,         10.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:42,2013/08/03T21:22:43,          8.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:43,2013/08/03T21:22:43,          1.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:50,2013/08/03T21:22:50,         13.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:52,2013/08/03T21:22:52,         14.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:54,2013/08/03T21:22:54,          1.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:22:58,2013/08/03T21:22:58,         14.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:09,2013/08/03T21:23:09,         11.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:12,2013/08/03T21:23:12,         10.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:13,2013/08/03T21:23:13,         22.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:13,2013/08/03T21:23:14,          7.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:14,2013/08/03T21:23:14,          6.000,
                              10.5.15.2,                              10.5.11.2,2013/08/03T21:23:15,2013/08/03T21:23:15,          1.000,
