                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:39,2013/08/03T21:21:39,         14.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:40,2013/08/03T21:21:40,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:40,2013/08/03T21:21:43,          2.667,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:43,2013/08/03T21:21:43,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:44,2013/08/03T21:21:44,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:46,2013/08/03T21:21:47,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:47,2013/08/03T21:21:47,          1.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:21:53,2013/08/03T21:21:53,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:03,2013/08/03T21:22:03,          9.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:04,2013/08/03T21:22:05,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:10,2013/08/03T21:22:10,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:28,2013/08/03T21:22:28,         24.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:28,2013/08/03T21:22:29,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:29,2013/08/03T21:22:29,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:30,2013/08/03T21:22:30,         10.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:33,2013/08/03T21:22:33,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:34,2013/08/03T21:23:18,          0.273,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:35,2013/08/03T21:22:36,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:36,2013/08/03T21:22:36,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:39,2013/08/03T21:22:44,        323.200,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:46,2013/08/03T21:22:46,         22.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:47,2013/08/03T21:22:47,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:48,2013/08/03T21:22:48,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:52,2013/08/03T21:22:52,          5.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:54,2013/08/03T21:22:54,         14.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:55,2013/08/03T21:22:55,         14.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:58,2013/08/03T21:22:58,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:22:59,2013/08/03T21:22:59,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:00,2013/08/03T21:23:00,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:02,2013/08/03T21:23:02,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:03,2013/08/03T21:23:03,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:03,2013/08/03T21:23:06,         15.667,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:04,2013/08/03T21:23:05,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:05,2013/08/03T21:23:05,          5.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:11,2013/08/03T21:23:17,          0.833,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:12,2013/08/03T21:23:12,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:16,2013/08/03T21:23:16,         14.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:23,2013/08/03T21:23:23,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:24,2013/08/03T21:23:24,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:25,2013/08/03T21:23:26,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:26,2013/08/03T21:23:26,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:33,2013/08/03T21:23:33,         32.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:34,2013/08/03T21:23:34,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:40,2013/08/03T21:23:40,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:44,2013/08/03T21:23:44,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:47,2013/08/03T21:23:47,         20.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:47,2013/08/03T21:23:54,          5.286,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:48,2013/08/03T21:23:49,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:23:49,2013/08/03T21:23:49,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:06,2013/08/03T21:24:06,         26.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:08,2013/08/03T21:24:08,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:12,2013/08/03T21:24:12,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:13,2013/08/03T21:24:13,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:14,2013/08/03T21:24:14,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:15,2013/08/03T21:24:15,          9.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:16,2013/08/03T21:24:16,         10.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:17,2013/08/03T21:24:17,         15.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:18,2013/08/03T21:24:18,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:20,2013/08/03T21:24:20,         12.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:22,2013/08/03T21:24:22,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:25,2013/08/03T21:24:25,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:28,2013/08/03T21:24:28,         22.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:32,2013/08/03T21:24:32,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:33,2013/08/03T21:24:33,         20.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:34,2013/08/03T21:24:35,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:35,2013/08/03T21:24:35,         10.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:37,2013/08/03T21:24:37,          5.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:41,2013/08/03T21:24:41,         14.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:41,2013/08/03T21:24:42,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/03T21:24:42,2013/08/03T21:24:42,          6.000,
