                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:23,2013/08/03T17:15:23,          6.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:30,2013/08/03T17:15:30,          5.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:33,2013/08/03T17:15:34,          5.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:33,2013/08/03T17:15:37,         12.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:42,2013/08/03T17:15:42,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:54,2013/08/03T17:15:54,          5.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:55,2013/08/03T17:15:56,          4.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:15:59,2013/08/03T17:15:59,          9.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:01,2013/08/03T17:16:01,          8.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:03,2013/08/03T17:16:03,         28.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:08,2013/08/03T17:16:09,          4.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:14,2013/08/03T17:16:14,          5.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:17,2013/08/03T17:16:17,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:28,2013/08/03T17:16:28,          4.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:37,2013/08/03T17:16:37,          6.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:40,2013/08/03T17:16:41,        162.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:49,2013/08/03T17:16:49,         14.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:16:57,2013/08/03T17:16:57,          6.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:03,2013/08/03T17:17:03,          9.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:03,2013/08/03T17:17:33,          0.167,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:03,2013/08/03T17:17:34,          0.097,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:12,2013/08/03T17:17:12,          5.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:20,2013/08/03T17:17:20,         13.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:22,2013/08/03T17:17:22,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:28,2013/08/03T17:17:28,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:42,2013/08/03T17:17:42,          9.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:17:54,2013/08/03T17:17:54,         10.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:18:25,2013/08/03T17:18:25,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:18:47,2013/08/03T17:18:47,        155.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:13,2013/08/03T17:19:13,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:24,2013/08/03T17:19:24,         12.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:31,2013/08/03T17:19:31,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:40,2013/08/03T17:19:40,          6.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:47,2013/08/03T17:19:47,          6.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:53,2013/08/03T17:19:53,          7.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:19:55,2013/08/03T17:19:55,          8.000,
                              10.5.18.2,                              10.5.15.2,2013/08/03T17:20:00,2013/08/03T17:20:01,         83.000,
