                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:27,2013/08/03T17:15:27,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:33,2013/08/03T17:15:33,         29.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:34,2013/08/03T17:15:34,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:36,2013/08/03T17:15:39,         20.667,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:45,2013/08/03T17:15:45,          3.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:15:57,2013/08/03T17:15:57,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:04,2013/08/03T17:19:03,          0.056,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:11,2013/08/03T17:16:11,         14.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:24,2013/08/03T17:16:24,        163.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:38,2013/08/03T17:16:38,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:40,2013/08/03T17:16:40,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:54,2013/08/03T17:16:54,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:16:58,2013/08/03T17:16:58,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:03,2013/08/03T17:17:03,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:33,2013/08/03T17:17:33,         29.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:34,2013/08/03T17:17:34,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:47,2013/08/03T17:17:47,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:51,2013/08/03T17:17:51,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:17:56,2013/08/03T17:17:56,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:18:23,2013/08/03T17:18:23,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:18:27,2013/08/03T17:18:27,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:18:36,2013/08/03T17:18:36,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:18:40,2013/08/03T17:18:40,          4.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:18:41,2013/08/03T17:18:41,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:01,2013/08/03T17:19:01,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:03,2013/08/03T17:19:03,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:05,2013/08/03T17:19:05,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:11,2013/08/03T17:19:11,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:27,2013/08/03T17:19:27,         13.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:19:29,2013/08/03T17:19:29,        155.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T17:20:00,2013/08/03T17:20:00,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:18,2013/08/03T18:55:18,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:21,2013/08/03T18:55:21,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:22,2013/08/03T18:55:22,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:23,2013/08/03T18:55:23,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:29,2013/08/03T18:55:29,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:34,2013/08/03T18:55:34,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:42,2013/08/03T18:55:43,         13.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:43,2013/08/03T18:55:43,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:47,2013/08/03T18:55:47,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:50,2013/08/03T18:55:50,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:50,2013/08/03T18:55:51,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:56,2013/08/03T18:55:56,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:55:59,2013/08/03T18:55:59,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:00,2013/08/03T18:56:00,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:04,2013/08/03T18:56:05,         18.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:06,2013/08/03T18:56:06,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:09,2013/08/03T18:56:09,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:10,2013/08/03T18:56:10,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:11,2013/08/03T18:56:11,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:17,2013/08/03T18:56:17,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:18,2013/08/03T18:56:49,          0.484,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:21,2013/08/03T18:56:21,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:25,2013/08/03T18:56:25,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:34,2013/08/03T18:56:34,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:36,2013/08/03T18:56:36,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:37,2013/08/03T18:56:37,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:39,2013/08/03T18:56:39,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:40,2013/08/03T18:56:40,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:41,2013/08/03T18:56:41,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:43,2013/08/03T18:56:43,         19.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:46,2013/08/03T18:56:46,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:48,2013/08/03T18:56:48,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:50,2013/08/03T18:56:50,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:51,2013/08/03T18:56:51,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:53,2013/08/03T18:56:56,          7.333,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:56,2013/08/03T18:56:56,         14.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:56:57,2013/08/03T18:56:57,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:02,2013/08/03T18:57:03,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:03,2013/08/03T18:57:03,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:04,2013/08/03T18:57:04,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:05,2013/08/03T18:57:05,         20.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:06,2013/08/03T18:57:06,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:09,2013/08/03T18:57:09,         26.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:10,2013/08/03T18:57:10,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:16,2013/08/03T18:57:17,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:21,2013/08/03T18:57:22,         76.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:22,2013/08/03T18:57:23,         57.333,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:23,2013/08/03T18:57:23,          3.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:25,2013/08/03T18:57:25,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:26,2013/08/03T18:57:26,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:26,2013/08/03T18:57:27,         77.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:27,2013/08/03T18:57:27,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:28,2013/08/03T18:57:28,         17.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:29,2013/08/03T18:57:29,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:30,2013/08/03T18:57:31,         79.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:31,2013/08/03T18:57:31,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:33,2013/08/03T18:57:33,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:36,2013/08/03T18:57:36,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:37,2013/08/03T18:57:37,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:39,2013/08/03T18:57:39,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:39,2013/08/03T18:57:40,         78.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:40,2013/08/03T18:57:41,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:47,2013/08/03T18:57:47,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:48,2013/08/03T18:57:48,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:49,2013/08/03T18:57:50,          4.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:57:56,2013/08/03T18:57:56,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:01,2013/08/03T18:58:01,         16.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:02,2013/08/03T18:58:04,         30.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:07,2013/08/03T18:58:07,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:08,2013/08/03T18:58:09,         71.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:10,2013/08/03T18:58:11,         71.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:11,2013/08/03T18:58:12,         79.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:12,2013/08/03T18:58:12,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:13,2013/08/03T18:58:13,         96.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:14,2013/08/03T18:58:14,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:16,2013/08/03T18:58:16,         19.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:16,2013/08/03T18:58:18,         43.500,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:17,2013/08/03T18:58:17,         17.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:21,2013/08/03T18:58:21,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:21,2013/08/03T18:58:22,         75.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:22,2013/08/03T18:58:22,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:23,2013/08/03T18:58:23,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:24,2013/08/03T18:58:24,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:29,2013/08/03T18:58:29,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:33,2013/08/03T18:58:34,          4.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:37,2013/08/03T18:58:37,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:38,2013/08/03T18:58:38,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:39,2013/08/03T18:58:39,         15.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:43,2013/08/03T18:58:43,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:44,2013/08/03T18:58:44,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:44,2013/08/03T18:58:45,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:45,2013/08/03T18:58:45,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:48,2013/08/03T18:58:48,         18.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:49,2013/08/03T18:58:50,         86.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:51,2013/08/03T18:58:51,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:52,2013/08/03T18:58:52,         15.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:54,2013/08/03T18:58:54,         18.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:56,2013/08/03T18:58:56,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:58:58,2013/08/03T18:58:58,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:00,2013/08/03T18:59:00,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:03,2013/08/03T18:59:03,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:04,2013/08/03T18:59:04,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:06,2013/08/03T18:59:06,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:07,2013/08/03T18:59:07,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:08,2013/08/03T18:59:08,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:11,2013/08/03T18:59:11,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:15,2013/08/03T18:59:15,          8.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:15,2013/08/03T18:59:16,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/03T18:59:16,2013/08/03T18:59:16,          6.000,
