                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:31,2013/08/03T17:15:32,        159.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:33,2013/08/03T17:15:34,          6.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:34,2013/08/03T17:15:34,          3.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:41,2013/08/03T17:15:41,          9.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:42,2013/08/03T17:15:43,        156.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:46,2013/08/03T17:15:46,          6.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:49,2013/08/03T17:15:50,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:15:55,2013/08/03T17:15:55,          9.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:10,2013/08/03T17:16:11,          3.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:11,2013/08/03T17:16:11,          4.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:31,2013/08/03T17:16:31,          6.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:36,2013/08/03T17:16:36,         13.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:45,2013/08/03T17:16:45,          1.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:47,2013/08/03T17:16:47,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:16:53,2013/08/03T17:16:54,          2.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:16,2013/08/03T17:17:16,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:33,2013/08/03T17:17:34,          4.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:45,2013/08/03T17:17:45,         13.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:46,2013/08/03T17:17:46,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:53,2013/08/03T17:17:54,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:17:57,2013/08/03T17:17:57,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:01,2013/08/03T17:18:01,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:04,2013/08/03T17:18:04,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:08,2013/08/03T17:18:08,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:27,2013/08/03T17:18:28,          6.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:28,2013/08/03T17:18:28,          4.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:29,2013/08/03T17:18:30,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:33,2013/08/03T17:19:03,          0.100,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:46,2013/08/03T17:18:46,          9.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:18:57,2013/08/03T17:18:57,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:01,2013/08/03T17:19:01,         14.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:03,2013/08/03T17:19:03,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:23,2013/08/03T17:19:23,         10.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:29,2013/08/03T17:19:29,         11.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:34,2013/08/03T17:19:35,          3.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:35,2013/08/03T17:19:35,          4.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:38,2013/08/03T17:19:38,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:19:55,2013/08/03T17:19:56,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:20:04,2013/08/03T17:20:04,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T17:20:12,2013/08/03T17:20:12,         13.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:26,2013/08/03T18:55:26,          9.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:30,2013/08/03T18:55:30,          7.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:32,2013/08/03T18:55:32,         10.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:33,2013/08/03T18:55:33,         10.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:34,2013/08/03T18:56:34,          0.200,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:35,2013/08/03T18:55:35,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:36,2013/08/03T18:55:36,          6.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:36,2013/08/03T18:55:42,          0.667,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:38,2013/08/03T18:55:38,         10.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:42,2013/08/03T18:55:42,         11.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:48,2013/08/03T18:55:48,          8.000,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:55,2013/08/03T18:55:57,         17.500,
                              10.5.18.2,                               10.5.7.2,2013/08/03T18:55:56,2013/08/03T18:55:56,          7.000,
