                              10.5.18.2,                              10.5.14.2,2013/08/03T17:15:17,2013/08/03T17:15:17,          5.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:15:21,2013/08/03T17:15:21,          6.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:15:33,2013/08/03T17:15:33,          7.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:15:38,2013/08/03T17:15:38,          4.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:16:25,2013/08/03T17:16:25,          7.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:16:37,2013/08/03T17:16:38,          4.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:16:45,2013/08/03T17:16:45,          8.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:16:49,2013/08/03T17:16:49,          5.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:16:50,2013/08/03T17:16:50,        164.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:04,2013/08/03T17:17:04,         11.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:18,2013/08/03T17:17:18,          6.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:21,2013/08/03T17:17:21,          8.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:23,2013/08/03T17:17:23,        172.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:25,2013/08/03T17:17:25,         13.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:25,2013/08/03T17:17:27,         32.500,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:27,2013/08/03T17:17:27,         13.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:30,2013/08/03T17:17:30,          7.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:33,2013/08/03T17:18:03,          0.167,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:37,2013/08/03T17:17:37,          8.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:17:48,2013/08/03T17:17:49,         67.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:03,2013/08/03T17:18:03,          9.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:10,2013/08/03T17:18:10,          5.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:31,2013/08/03T17:18:32,        160.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:32,2013/08/03T17:18:32,        166.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:35,2013/08/03T17:18:35,          8.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:39,2013/08/03T17:18:39,          8.000,
                              10.5.18.2,                              10.5.14.2,2013/08/03T17:18:40,2013/08/03T17:18:40,         10.000,
