                              10.5.18.2,                               10.5.2.2,2013/08/03T17:15:20,2013/08/03T17:15:21,        168.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:15:22,2013/08/03T17:15:22,          6.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:15:53,2013/08/03T17:15:54,        170.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:15:54,2013/08/03T17:15:54,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:17,2013/08/03T17:16:17,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:27,2013/08/03T17:16:27,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:27,2013/08/03T17:16:32,          4.400,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:36,2013/08/03T17:16:37,        162.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:37,2013/08/03T17:16:41,          3.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:38,2013/08/03T17:16:38,          6.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:41,2013/08/03T17:16:41,          3.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:53,2013/08/03T17:16:54,         24.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:16:59,2013/08/03T17:16:59,          8.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:17:19,2013/08/03T17:17:19,          7.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:17:51,2013/08/03T17:17:51,          1.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:17:53,2013/08/03T17:17:53,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:01,2013/08/03T17:18:02,        162.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:10,2013/08/03T17:18:10,          6.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:19,2013/08/03T17:18:19,         15.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:31,2013/08/03T17:18:31,          6.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:54,2013/08/03T17:18:54,         13.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:18:56,2013/08/03T17:18:57,        163.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:19:03,2013/08/03T17:19:04,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/03T17:19:19,2013/08/03T17:19:19,         12.000,
