                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:19,2013/08/03T17:15:19,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:29,2013/08/03T17:15:29,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:31,2013/08/03T17:15:31,          6.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:41,2013/08/03T17:15:41,          3.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:47,2013/08/03T17:15:47,          3.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:49,2013/08/03T17:15:49,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:49,2013/08/03T17:15:50,          4.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:15:56,2013/08/03T17:15:56,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:16:12,2013/08/03T17:16:12,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:16:27,2013/08/03T17:16:27,          8.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:16:29,2013/08/03T17:16:29,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:16:45,2013/08/03T17:16:45,          1.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:16:48,2013/08/03T17:16:48,          6.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:17:03,2013/08/03T17:17:03,          6.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:17:14,2013/08/03T17:17:14,         10.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:17:33,2013/08/03T17:17:34,        171.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:17:39,2013/08/03T17:17:39,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:01,2013/08/03T17:18:02,          4.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:02,2013/08/03T17:18:02,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:24,2013/08/03T17:18:26,          4.500,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:33,2013/08/03T17:19:03,          0.167,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:45,2013/08/03T17:18:45,          8.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:18:47,2013/08/03T17:18:48,         87.500,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:19:01,2013/08/03T17:19:02,        153.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:19:33,2013/08/03T17:19:36,         15.667,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:19:35,2013/08/03T17:19:35,          5.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:19:52,2013/08/03T17:19:54,          2.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T17:20:06,2013/08/03T17:20:07,        166.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:21,2013/08/03T18:55:21,         10.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:21,2013/08/03T18:55:22,          4.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:22,2013/08/03T18:55:22,          2.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:23,2013/08/03T18:55:23,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:27,2013/08/03T18:55:27,          8.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:28,2013/08/03T18:55:28,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:29,2013/08/03T18:55:29,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:32,2013/08/03T18:55:32,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:33,2013/08/03T18:55:33,         10.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:34,2013/08/03T18:55:34,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:36,2013/08/03T18:55:36,         10.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:37,2013/08/03T18:55:37,          8.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:40,2013/08/03T18:55:40,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:41,2013/08/03T18:55:41,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:46,2013/08/03T18:55:46,         13.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:47,2013/08/03T18:55:47,          7.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:52,2013/08/03T18:55:52,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/03T18:55:53,2013/08/03T18:55:53,          9.000,
