                              10.5.18.2,                              10.5.16.2,2013/08/03T17:15:16,2013/08/03T17:15:16,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:15:30,2013/08/03T17:15:30,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:15:33,2013/08/03T17:15:33,          3.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:15:34,2013/08/03T17:15:34,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:15:40,2013/08/03T17:15:40,          1.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:16:13,2013/08/03T17:16:13,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:16:21,2013/08/03T17:16:21,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:16:43,2013/08/03T17:16:43,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:16:52,2013/08/03T17:16:52,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:16:58,2013/08/03T17:16:59,        160.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:01,2013/08/03T17:17:01,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:16,2013/08/03T17:17:17,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:38,2013/08/03T17:17:38,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:40,2013/08/03T17:17:40,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:52,2013/08/03T17:17:52,         19.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:17:55,2013/08/03T17:17:55,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:03,2013/08/03T17:18:04,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:06,2013/08/03T17:18:06,        162.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:13,2013/08/03T17:18:13,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:17,2013/08/03T17:18:17,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:23,2013/08/03T17:18:24,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:24,2013/08/03T17:18:24,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:27,2013/08/03T17:18:27,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:33,2013/08/03T17:18:33,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:18:58,2013/08/03T17:18:58,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:01,2013/08/03T17:19:01,          5.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:03,2013/08/03T17:19:03,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:05,2013/08/03T17:19:05,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:10,2013/08/03T17:19:10,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:10,2013/08/03T17:19:11,         64.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:20,2013/08/03T17:19:21,        154.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:22,2013/08/03T17:19:22,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:25,2013/08/03T17:19:25,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:33,2013/08/03T17:19:33,         30.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:43,2013/08/03T17:19:43,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:54,2013/08/03T17:19:54,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:19:59,2013/08/03T17:19:59,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:20:03,2013/08/03T17:20:03,         11.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T17:20:07,2013/08/03T17:20:07,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:16,2013/08/03T18:55:16,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:17,2013/08/03T18:55:17,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:18,2013/08/03T18:55:18,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:18,2013/08/03T18:55:23,          7.800,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:19,2013/08/03T18:55:19,         29.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:19,2013/08/03T18:55:25,          0.500,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:23,2013/08/03T18:55:23,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:29,2013/08/03T18:55:29,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:30,2013/08/03T18:55:30,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:31,2013/08/03T18:55:31,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:33,2013/08/03T18:55:33,         19.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:33,2013/08/03T18:55:36,         15.333,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:34,2013/08/03T18:55:35,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:35,2013/08/03T18:55:35,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:36,2013/08/03T18:55:36,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:37,2013/08/03T18:55:37,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:45,2013/08/03T18:55:45,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:49,2013/08/03T18:55:49,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:52,2013/08/03T18:55:52,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:53,2013/08/03T18:55:53,         15.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:55:56,2013/08/03T18:55:56,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:01,2013/08/03T18:56:03,         29.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:03,2013/08/03T18:56:03,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:08,2013/08/03T18:56:08,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:09,2013/08/03T18:56:09,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:12,2013/08/03T18:56:12,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:17,2013/08/03T18:56:17,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:21,2013/08/03T18:56:21,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:26,2013/08/03T18:56:26,         20.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:30,2013/08/03T18:56:31,          3.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:31,2013/08/03T18:56:31,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:32,2013/08/03T18:56:32,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:33,2013/08/03T18:56:34,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:33,2013/08/03T18:56:36,         15.333,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:37,2013/08/03T18:56:38,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:38,2013/08/03T18:56:38,          3.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:42,2013/08/03T18:56:42,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:44,2013/08/03T18:56:44,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:46,2013/08/03T18:56:46,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:47,2013/08/03T18:56:47,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:52,2013/08/03T18:56:52,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:53,2013/08/03T18:56:53,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:57,2013/08/03T18:56:57,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:56:59,2013/08/03T18:56:59,         11.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:01,2013/08/03T18:57:01,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:02,2013/08/03T18:57:02,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:03,2013/08/03T18:57:03,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:04,2013/08/03T18:57:04,         24.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:04,2013/08/03T18:57:34,          0.133,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:06,2013/08/03T18:57:06,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:08,2013/08/03T18:57:09,         84.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:09,2013/08/03T18:57:09,          1.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:10,2013/08/03T18:57:10,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:10,2013/08/03T18:57:12,         37.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:12,2013/08/03T18:57:12,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:20,2013/08/03T18:57:21,         80.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:23,2013/08/03T18:57:23,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:24,2013/08/03T18:57:24,         74.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:25,2013/08/03T18:57:25,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:25,2013/08/03T18:57:26,         85.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:26,2013/08/03T18:57:26,          1.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:28,2013/08/03T18:57:28,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:28,2013/08/03T18:57:29,         76.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:29,2013/08/03T18:57:29,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:32,2013/08/03T18:57:32,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:33,2013/08/03T18:57:33,         18.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:33,2013/08/03T18:57:34,         85.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:35,2013/08/03T18:57:35,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:36,2013/08/03T18:57:36,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:38,2013/08/03T18:57:38,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:39,2013/08/03T18:57:41,         40.500,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:40,2013/08/03T18:57:40,         17.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:42,2013/08/03T18:57:42,         22.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:43,2013/08/03T18:57:43,         11.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:45,2013/08/03T18:57:46,         82.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:45,2013/08/03T18:57:48,         11.333,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:48,2013/08/03T18:57:48,         77.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:49,2013/08/03T18:57:49,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:49,2013/08/03T18:57:50,         69.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:50,2013/08/03T18:57:51,          5.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:52,2013/08/03T18:57:52,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:57,2013/08/03T18:57:57,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:57:58,2013/08/03T18:57:58,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:00,2013/08/03T18:58:02,         43.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:02,2013/08/03T18:58:02,          1.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:04,2013/08/03T18:58:04,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:10,2013/08/03T18:58:11,         69.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:11,2013/08/03T18:58:11,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:13,2013/08/03T18:58:13,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:14,2013/08/03T18:58:14,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:15,2013/08/03T18:58:15,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:16,2013/08/03T18:58:16,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:16,2013/08/03T18:58:17,         71.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:17,2013/08/03T18:58:17,          1.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:18,2013/08/03T18:58:18,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:26,2013/08/03T18:58:26,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:30,2013/08/03T18:58:30,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:31,2013/08/03T18:58:31,         15.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:33,2013/08/03T18:58:34,         70.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:33,2013/08/03T18:58:36,         15.333,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:34,2013/08/03T18:58:34,         11.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:35,2013/08/03T18:58:35,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:36,2013/08/03T18:58:37,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:38,2013/08/03T18:58:38,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:39,2013/08/03T18:58:39,          6.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:41,2013/08/03T18:58:41,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:42,2013/08/03T18:58:42,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:45,2013/08/03T18:58:45,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:48,2013/08/03T18:58:48,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:52,2013/08/03T18:58:52,         12.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:53,2013/08/03T18:58:53,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:53,2013/08/03T18:58:54,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:54,2013/08/03T18:58:54,          5.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:55,2013/08/03T18:58:55,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:56,2013/08/03T18:58:56,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:57,2013/08/03T18:58:57,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:58,2013/08/03T18:58:58,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:58:59,2013/08/03T18:58:59,          4.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:01,2013/08/03T18:59:01,         10.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:01,2013/08/03T18:59:03,         40.500,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:03,2013/08/03T18:59:33,          0.133,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:10,2013/08/03T18:59:10,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:14,2013/08/03T18:59:14,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:15,2013/08/03T18:59:15,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:17,2013/08/03T18:59:17,         15.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:19,2013/08/03T18:59:19,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:31,2013/08/03T18:59:31,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:33,2013/08/03T18:59:33,         19.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:34,2013/08/03T18:59:34,         13.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:45,2013/08/03T18:59:45,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:46,2013/08/03T18:59:46,          7.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:47,2013/08/03T18:59:47,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:49,2013/08/03T18:59:49,          9.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:51,2013/08/03T18:59:51,          8.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:54,2013/08/03T18:59:54,         16.000,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:56,2013/08/03T19:00:01,          7.600,
                              10.5.18.2,                              10.5.16.2,2013/08/03T18:59:58,2013/08/03T18:59:58,         13.000,
