                              10.5.18.2,                               10.5.4.2,2013/08/03T17:15:35,2013/08/03T17:15:35,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:15:44,2013/08/03T17:15:45,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:15:47,2013/08/03T17:15:47,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:15:49,2013/08/03T17:15:49,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:15:59,2013/08/03T17:15:59,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:00,2013/08/03T17:16:00,        163.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:04,2013/08/03T17:16:04,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:09,2013/08/03T17:16:09,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:18,2013/08/03T17:16:18,         17.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:25,2013/08/03T17:16:25,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:54,2013/08/03T17:16:54,          5.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:16:56,2013/08/03T17:16:56,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:00,2013/08/03T17:17:00,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:10,2013/08/03T17:17:10,          5.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:14,2013/08/03T17:17:14,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:19,2013/08/03T17:17:21,          2.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:20,2013/08/03T17:17:20,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:43,2013/08/03T17:17:43,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:17:59,2013/08/03T17:17:59,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:05,2013/08/03T17:18:05,        172.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:15,2013/08/03T17:18:15,        167.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:18,2013/08/03T17:18:18,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:26,2013/08/03T17:18:26,        165.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:33,2013/08/03T17:18:33,         28.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:50,2013/08/03T17:18:50,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:18:52,2013/08/03T17:18:52,        158.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:00,2013/08/03T17:19:00,         14.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:06,2013/08/03T17:19:06,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:07,2013/08/03T17:19:07,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:14,2013/08/03T17:19:14,          5.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:51,2013/08/03T17:19:52,         57.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:19:52,2013/08/03T17:19:52,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T17:20:03,2013/08/03T17:20:06,         15.667,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:17,2013/08/03T18:55:17,         11.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:18,2013/08/03T18:55:18,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:22,2013/08/03T18:55:22,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:29,2013/08/03T18:55:29,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:30,2013/08/03T18:55:31,         10.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:31,2013/08/03T18:55:31,         10.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:32,2013/08/03T18:55:32,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:33,2013/08/03T18:55:33,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:35,2013/08/03T18:55:35,         18.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:36,2013/08/03T18:55:36,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:37,2013/08/03T18:55:37,          5.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:48,2013/08/03T18:55:48,         18.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:58,2013/08/03T18:55:58,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:55:59,2013/08/03T18:55:59,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:02,2013/08/03T18:56:04,          2.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:04,2013/08/03T18:56:04,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:07,2013/08/03T18:56:07,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:14,2013/08/03T18:56:14,         10.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:16,2013/08/03T18:56:16,         10.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:18,2013/08/03T18:56:18,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:20,2013/08/03T18:56:20,         17.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:22,2013/08/03T18:56:22,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:23,2013/08/03T18:56:23,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:26,2013/08/03T18:56:26,         16.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:27,2013/08/03T18:56:27,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:31,2013/08/03T18:56:31,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:32,2013/08/03T18:56:32,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:33,2013/08/03T18:56:33,         12.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:34,2013/08/03T18:56:34,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:38,2013/08/03T18:56:38,          5.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:41,2013/08/03T18:56:41,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:54,2013/08/03T18:56:54,          1.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:56:58,2013/08/03T18:56:58,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:01,2013/08/03T18:57:01,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:02,2013/08/03T18:57:02,         22.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:04,2013/08/03T18:57:04,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:05,2013/08/03T18:57:05,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:06,2013/08/03T18:57:06,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:07,2013/08/03T18:57:07,         12.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:08,2013/08/03T18:57:08,         13.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:08,2013/08/03T18:57:10,          2.500,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:12,2013/08/03T18:57:12,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:15,2013/08/03T18:57:17,         38.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:16,2013/08/03T18:57:16,         13.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:16,2013/08/03T18:57:17,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:17,2013/08/03T18:57:17,          3.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:18,2013/08/03T18:57:18,         15.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:19,2013/08/03T18:57:19,         71.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:20,2013/08/03T18:57:20,          4.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:22,2013/08/03T18:57:22,         16.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:22,2013/08/03T18:57:23,         77.500,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:25,2013/08/03T18:57:25,         74.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:29,2013/08/03T18:57:30,         75.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:30,2013/08/03T18:57:30,         23.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:31,2013/08/03T18:57:31,         11.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:32,2013/08/03T18:57:33,         78.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:33,2013/08/03T18:57:33,          1.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:34,2013/08/03T18:57:35,         65.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:34,2013/08/03T18:58:34,          0.200,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:35,2013/08/03T18:57:35,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:37,2013/08/03T18:57:37,         23.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:38,2013/08/03T18:57:38,         14.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:39,2013/08/03T18:57:39,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:40,2013/08/03T18:57:40,         15.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:41,2013/08/03T18:57:41,         11.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:42,2013/08/03T18:57:42,         11.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:44,2013/08/03T18:57:45,         76.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:48,2013/08/03T18:57:49,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:49,2013/08/03T18:57:49,         14.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:51,2013/08/03T18:57:51,          2.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:52,2013/08/03T18:57:52,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:55,2013/08/03T18:57:55,          8.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:55,2013/08/03T18:57:56,         78.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:55,2013/08/03T18:57:57,         39.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:57,2013/08/03T18:57:57,          6.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:57:58,2013/08/03T18:57:59,         69.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:00,2013/08/03T18:58:00,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:01,2013/08/03T18:58:01,         17.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:01,2013/08/03T18:58:06,          7.600,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:03,2013/08/03T18:58:03,          9.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:05,2013/08/03T18:58:05,         10.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:05,2013/08/03T18:58:06,         76.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:06,2013/08/03T18:58:06,         53.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:07,2013/08/03T18:58:09,         40.500,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:08,2013/08/03T18:58:08,          7.000,
                              10.5.18.2,                               10.5.4.2,2013/08/03T18:58:10,2013/08/03T18:58:11,         71.000,
