                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:17,2013/08/03T17:15:18,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:18,2013/08/03T17:15:18,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:22,2013/08/03T17:15:22,         13.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:24,2013/08/03T17:15:24,         12.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:30,2013/08/03T17:15:31,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:43,2013/08/03T17:15:43,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:45,2013/08/03T17:15:45,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:47,2013/08/03T17:15:47,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:15:54,2013/08/03T17:15:54,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:16:24,2013/08/03T17:16:24,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:16:34,2013/08/03T17:16:34,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:16:35,2013/08/03T17:16:35,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:16:47,2013/08/03T17:16:47,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:04,2013/08/03T17:17:34,          0.233,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:08,2013/08/03T17:17:08,          3.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:32,2013/08/03T17:17:32,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:34,2013/08/03T17:17:34,          5.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:48,2013/08/03T17:17:48,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:51,2013/08/03T17:17:52,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:17:52,2013/08/03T17:17:52,          2.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:08,2013/08/03T17:18:08,         12.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:11,2013/08/03T17:18:12,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:16,2013/08/03T17:18:16,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:26,2013/08/03T17:18:26,          6.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:27,2013/08/03T17:18:27,        160.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:48,2013/08/03T17:18:48,          6.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:49,2013/08/03T17:18:49,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:18:58,2013/08/03T17:18:58,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:00,2013/08/03T17:19:00,         12.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:04,2013/08/03T17:19:05,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:10,2013/08/03T17:19:10,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:27,2013/08/03T17:19:28,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:33,2013/08/03T17:19:33,         11.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:36,2013/08/03T17:19:37,          5.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:37,2013/08/03T17:19:37,          2.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:48,2013/08/03T17:19:48,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:49,2013/08/03T17:19:49,          6.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:19:59,2013/08/03T17:20:00,        156.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:20:03,2013/08/03T17:20:03,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:20:08,2013/08/03T17:20:08,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:20:13,2013/08/03T17:20:13,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T17:20:13,2013/08/03T17:20:14,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:20,2013/08/03T18:55:20,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:26,2013/08/03T18:55:26,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:28,2013/08/03T18:55:28,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:29,2013/08/03T18:55:29,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:35,2013/08/03T18:55:35,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:39,2013/08/03T18:55:44,          7.600,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:40,2013/08/03T18:55:40,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:40,2013/08/03T18:55:41,          4.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:44,2013/08/03T18:55:44,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:45,2013/08/03T18:55:45,          7.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:46,2013/08/03T18:55:46,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:47,2013/08/03T18:55:47,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/03T18:55:49,2013/08/03T18:55:49,          7.000,
