                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:17,2013/08/03T17:00:31,          0.286,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:17,2013/08/03T17:00:43,          0.308,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:17,2013/08/03T17:00:44,          0.222,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:19,2013/08/03T17:00:26,          0.143,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:19,2013/08/03T17:00:40,          0.143,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:20,2013/08/03T17:00:20,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:21,2013/08/03T17:00:27,         10.500,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:22,2013/08/03T17:00:22,         10.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:22,2013/08/03T17:00:28,          0.500,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:23,2013/08/03T17:00:23,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:23,2013/08/03T17:00:36,          0.462,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:24,2013/08/03T17:00:37,          0.538,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          0.667,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          1.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:26,2013/08/03T17:00:40,          3.500,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:26,2013/08/03T17:00:53,          0.222,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:28,2013/08/03T17:00:28,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:28,2013/08/03T17:00:34,          0.583,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:31,2013/08/03T17:00:34,         24.333,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:33,2013/08/03T17:00:36,         15.667,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:36,2013/08/03T17:00:36,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:37,2013/08/03T17:00:37,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:38,2013/08/03T17:00:38,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:40,2013/08/03T17:00:40,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:41,2013/08/03T17:00:41,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:43,2013/08/03T17:00:43,          1.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:44,2013/08/03T17:00:44,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:52,2013/08/03T17:00:52,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:53,2013/08/03T17:00:53,          5.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:56,2013/08/03T17:00:56,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:00:57,2013/08/03T17:00:57,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:01,2013/08/03T17:01:01,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:06,2013/08/03T17:01:07,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:07,2013/08/03T17:01:07,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:09,2013/08/03T17:01:10,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:18,2013/08/03T17:01:19,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:19,2013/08/03T17:01:19,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:21,2013/08/03T17:01:22,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:22,2013/08/03T17:01:22,          5.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:24,2013/08/03T17:01:24,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:29,2013/08/03T17:01:30,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:31,2013/08/03T17:01:32,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:37,2013/08/03T17:01:38,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:38,2013/08/03T17:01:38,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:41,2013/08/03T17:01:41,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:47,2013/08/03T17:01:47,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:48,2013/08/03T17:01:49,          5.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:52,2013/08/03T17:01:53,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:54,2013/08/03T17:01:55,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:55,2013/08/03T17:01:56,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:01:58,2013/08/03T17:01:58,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:09,2013/08/03T17:02:09,          1.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:13,2013/08/03T17:02:13,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:14,2013/08/03T17:02:15,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:27,2013/08/03T17:02:34,          5.143,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:30,2013/08/03T17:02:31,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:32,2013/08/03T17:02:33,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:33,2013/08/03T17:02:33,         12.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:35,2013/08/03T17:02:36,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:36,2013/08/03T17:02:36,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:38,2013/08/03T17:02:38,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:40,2013/08/03T17:02:40,          6.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:44,2013/08/03T17:02:45,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:52,2013/08/03T17:02:52,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:53,2013/08/03T17:02:53,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:54,2013/08/03T17:02:54,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:02:58,2013/08/03T17:02:58,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:03,2013/08/03T17:03:03,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:06,2013/08/03T17:03:06,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:12,2013/08/03T17:03:13,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:20,2013/08/03T17:03:21,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:22,2013/08/03T17:03:23,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:23,2013/08/03T17:03:24,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:24,2013/08/03T17:03:24,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:40,2013/08/03T17:03:47,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:47,2013/08/03T17:03:47,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:03:59,2013/08/03T17:03:59,          7.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:04:04,2013/08/03T17:04:05,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:04:07,2013/08/03T17:04:18,          0.818,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:04:11,2013/08/03T17:04:11,          3.000,
                              10.5.19.2,                              10.5.18.2,2013/08/03T17:04:12,2013/08/03T17:04:12,          3.000,
