                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:17,2013/08/03T17:00:17,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:17,2013/08/03T17:00:38,          0.143,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:17,2013/08/03T17:00:43,          0.231,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:17,2013/08/03T17:00:44,          0.259,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:18,2013/08/03T17:00:44,          0.250,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:18,2013/08/03T17:00:45,          0.259,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:19,2013/08/03T17:00:26,          0.143,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:19,2013/08/03T17:00:39,          0.150,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:20,2013/08/03T17:00:26,          0.667,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:20,2013/08/03T17:00:27,          0.857,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:22,2013/08/03T17:00:35,          0.462,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:22,2013/08/03T17:00:42,          0.150,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:23,2013/08/03T17:00:36,          0.462,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:24,2013/08/03T17:00:32,          6.750,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          0.667,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:26,2013/08/03T17:00:39,          0.538,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:27,2013/08/03T17:00:33,          0.500,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:29,2013/08/03T17:00:34,          0.800,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:30,2013/08/03T17:00:34,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:31,2013/08/03T17:00:34,          8.833,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:32,2013/08/03T17:00:32,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:32,2013/08/03T17:00:34,         53.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:33,2013/08/03T17:00:33,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:34,2013/08/03T17:00:34,         12.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:35,2013/08/03T17:00:35,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:36,2013/08/03T17:00:36,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:38,2013/08/03T17:00:38,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:39,2013/08/03T17:00:39,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:40,2013/08/03T17:00:40,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/03T17:00:42,2013/08/03T17:00:42,          2.000,
