                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:16,2013/08/03T17:00:43,          0.222,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:17,2013/08/03T17:00:38,          0.143,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:18,2013/08/03T17:00:45,          1.852,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:19,2013/08/03T17:00:19,          6.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:19,2013/08/03T17:00:26,          0.357,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:19,2013/08/03T17:00:39,          0.150,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:19,2013/08/03T17:00:45,          0.269,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:20,2013/08/03T17:00:26,         13.167,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:20,2013/08/03T17:00:40,          0.150,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:21,2013/08/03T17:00:21,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:21,2013/08/03T17:00:22,          3.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:21,2013/08/03T17:00:28,          5.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:21,2013/08/03T17:00:42,          0.143,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:21,2013/08/03T17:00:47,          0.231,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          0.500,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:25,2013/08/03T17:00:38,          0.462,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          3.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:26,2013/08/03T17:00:32,          0.667,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:26,2013/08/03T17:00:33,          0.714,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          6.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:27,2013/08/03T17:00:34,         16.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:28,2013/08/03T17:00:28,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:30,2013/08/03T17:00:35,         25.400,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          5.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:32,2013/08/03T17:00:32,          4.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:33,2013/08/03T17:00:33,          5.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          2.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:38,2013/08/03T17:00:38,         12.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:39,2013/08/03T17:00:39,          2.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:40,2013/08/03T17:00:40,          9.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:41,2013/08/03T17:00:41,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/03T17:00:42,2013/08/03T17:00:42,          4.000,
