                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:17,2013/08/03T17:00:38,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:18,2013/08/03T17:00:32,          0.321,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:19,2013/08/03T17:00:33,          0.500,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:19,2013/08/03T17:00:40,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:19,2013/08/03T17:00:45,          0.231,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:20,2013/08/03T17:00:21,          3.000,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:20,2013/08/03T17:00:27,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:21,2013/08/03T17:00:36,          3.400,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:21,2013/08/03T17:00:41,          0.150,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:21,2013/08/03T17:00:42,          0.143,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:22,2013/08/03T17:00:28,          0.500,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:22,2013/08/03T17:00:35,          0.462,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:22,2013/08/03T17:00:42,          0.150,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:23,2013/08/03T17:00:36,          0.462,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:24,2013/08/03T17:00:37,          0.538,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:24,2013/08/03T17:00:38,          0.429,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:26,2013/08/03T17:00:39,          3.077,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          1.000,
                              10.5.19.2,                              10.5.10.2,2013/08/03T17:00:27,2013/08/03T17:00:40,          0.538,
