                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:16,2013/08/03T17:00:43,          1.444,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:17,2013/08/03T17:00:30,          0.308,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:17,2013/08/03T17:00:31,          0.286,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:17,2013/08/03T17:00:44,          0.259,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:18,2013/08/03T17:00:31,          0.462,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:19,2013/08/03T17:00:26,          0.143,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:19,2013/08/03T17:00:45,          0.269,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:19,2013/08/03T17:00:46,          0.222,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:20,2013/08/03T17:00:46,          0.231,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:21,2013/08/03T17:00:27,          1.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:21,2013/08/03T17:00:34,          0.308,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:21,2013/08/03T17:00:41,          0.150,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:21,2013/08/03T17:00:42,          0.190,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:21,2013/08/03T17:00:47,          2.500,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:22,2013/08/03T17:00:28,          0.667,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:22,2013/08/03T17:00:29,          0.143,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:23,2013/08/03T17:00:30,         15.143,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:23,2013/08/03T17:00:37,          2.607,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          6.250,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          7.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:26,2013/08/03T17:00:32,          8.667,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:26,2013/08/03T17:00:35,          8.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:27,2013/08/03T17:00:28,          4.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:28,2013/08/03T17:00:28,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:28,2013/08/03T17:00:34,         11.167,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:28,2013/08/03T17:00:35,          1.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:29,2013/08/03T17:00:29,          8.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:29,2013/08/03T17:00:31,        104.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:30,2013/08/03T17:00:30,          3.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:30,2013/08/03T17:00:35,          0.700,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          8.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:32,2013/08/03T17:00:32,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:32,2013/08/03T17:00:34,         17.500,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:33,2013/08/03T17:00:33,         25.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          5.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:35,2013/08/03T17:00:35,          6.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:37,2013/08/03T17:00:37,          1.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:38,2013/08/03T17:00:38,          4.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:41,2013/08/03T17:00:41,          6.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:42,2013/08/03T17:00:42,          4.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:43,2013/08/03T17:00:43,         14.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:44,2013/08/03T17:00:44,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:45,2013/08/03T17:00:45,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:46,2013/08/03T17:00:46,          4.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:47,2013/08/03T17:00:47,          2.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:51,2013/08/03T17:00:51,          3.000,
                              10.5.19.2,                               10.5.3.2,2013/08/03T17:00:58,2013/08/03T17:00:58,          3.000,
