                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:16,2013/08/03T17:00:43,          0.259,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:17,2013/08/03T17:00:23,          0.667,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:17,2013/08/03T17:00:43,          0.231,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:18,2013/08/03T17:00:18,          3.000,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:18,2013/08/03T17:00:31,          0.308,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:18,2013/08/03T17:00:44,          0.231,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:18,2013/08/03T17:00:45,          0.241,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:19,2013/08/03T17:00:19,          4.000,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:19,2013/08/03T17:00:26,          0.143,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:19,2013/08/03T17:00:39,          0.150,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:19,2013/08/03T17:00:40,          0.143,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:19,2013/08/03T17:00:45,          0.269,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:20,2013/08/03T17:00:34,          5.500,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:20,2013/08/03T17:00:46,          0.231,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:21,2013/08/03T17:00:41,          0.150,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:22,2013/08/03T17:00:28,         12.000,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:22,2013/08/03T17:00:37,          4.067,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:23,2013/08/03T17:00:38,          8.067,
                              10.5.19.2,                              10.5.17.2,2013/08/03T17:00:24,2013/08/03T17:00:30,          0.833,
