                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:16,2013/08/03T17:00:42,          1.923,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:16,2013/08/03T17:00:43,          0.259,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:17,2013/08/03T17:00:30,          0.385,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:17,2013/08/03T17:00:31,          0.286,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:17,2013/08/03T17:00:37,          0.150,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:17,2013/08/03T17:00:38,          0.143,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:19,2013/08/03T17:00:25,          0.667,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:19,2013/08/03T17:00:39,          0.150,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:19,2013/08/03T17:00:45,          0.269,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:20,2013/08/03T17:00:46,          0.250,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:21,2013/08/03T17:00:41,          0.150,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:22,2013/08/03T17:00:29,          0.643,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:23,2013/08/03T17:00:30,          0.571,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:23,2013/08/03T17:00:36,          0.462,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:24,2013/08/03T17:00:30,          0.583,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:24,2013/08/03T17:00:38,          0.429,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          0.500,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:25,2013/08/03T17:00:32,          0.714,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:25,2013/08/03T17:00:38,          2.308,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:26,2013/08/03T17:00:26,         11.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:26,2013/08/03T17:00:32,          6.500,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:26,2013/08/03T17:00:40,          0.429,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:27,2013/08/03T17:00:29,          2.500,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:28,2013/08/03T17:00:34,          0.500,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:29,2013/08/03T17:00:29,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:30,2013/08/03T17:00:30,          6.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:32,2013/08/03T17:00:32,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:32,2013/08/03T17:00:34,          2.500,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:32,2013/08/03T17:00:35,         44.667,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:34,2013/08/03T17:00:35,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:35,2013/08/03T17:00:35,          2.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:36,2013/08/03T17:00:36,          2.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:37,2013/08/03T17:00:37,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:38,2013/08/03T17:00:38,         17.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:39,2013/08/03T17:00:39,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:39,2013/08/03T17:00:40,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:40,2013/08/03T17:00:40,          6.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:41,2013/08/03T17:00:41,         11.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:43,2013/08/03T17:00:43,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:45,2013/08/03T17:00:45,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:46,2013/08/03T17:00:46,          7.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:00:50,2013/08/03T17:00:50,          6.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:07,2013/08/03T17:01:07,          7.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:08,2013/08/03T17:01:09,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:09,2013/08/03T17:01:09,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:11,2013/08/03T17:01:11,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:11,2013/08/03T17:01:12,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:24,2013/08/03T17:01:25,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:26,2013/08/03T17:01:26,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:30,2013/08/03T17:01:30,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:40,2013/08/03T17:01:40,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:43,2013/08/03T17:01:43,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:43,2013/08/03T17:01:44,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:45,2013/08/03T17:01:45,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:54,2013/08/03T17:01:54,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:01:55,2013/08/03T17:01:56,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:03,2013/08/03T17:02:03,          6.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:17,2013/08/03T17:02:17,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:22,2013/08/03T17:02:23,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:23,2013/08/03T17:02:23,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:27,2013/08/03T17:02:28,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:33,2013/08/03T17:02:33,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:33,2013/08/03T17:02:34,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:34,2013/08/03T17:02:34,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:35,2013/08/03T17:02:35,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/03T17:02:39,2013/08/03T17:02:39,          3.000,
