                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:16,2013/08/03T17:00:16,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:16,2013/08/03T17:00:21,         44.200,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:16,2013/08/03T17:00:43,          0.222,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:17,2013/08/03T17:00:17,         23.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:17,2013/08/03T17:00:23,          0.667,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:17,2013/08/03T17:00:37,          0.150,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:17,2013/08/03T17:00:38,          0.143,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:17,2013/08/03T17:00:43,          1.077,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:18,2013/08/03T17:00:26,         15.500,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:18,2013/08/03T17:00:38,          0.150,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:18,2013/08/03T17:00:39,          0.143,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:18,2013/08/03T17:00:41,          0.130,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:18,2013/08/03T17:00:45,          0.259,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:19,2013/08/03T17:00:19,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:19,2013/08/03T17:00:39,          0.150,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:20,2013/08/03T17:00:20,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:20,2013/08/03T17:00:41,          0.143,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:20,2013/08/03T17:00:46,          0.269,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:21,2013/08/03T17:00:21,          5.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:21,2013/08/03T17:00:27,          0.500,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:21,2013/08/03T17:00:42,          0.143,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:22,2013/08/03T17:00:28,          0.667,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:22,2013/08/03T17:00:35,          0.462,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:23,2013/08/03T17:00:36,          0.500,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:24,2013/08/03T17:00:37,          0.462,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:26,2013/08/03T17:00:33,          8.429,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:26,2013/08/03T17:00:39,          0.462,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:28,2013/08/03T17:00:28,          2.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:28,2013/08/03T17:00:34,          0.667,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:29,2013/08/03T17:00:34,         12.600,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:32,2013/08/03T17:00:34,         31.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:33,2013/08/03T17:00:33,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          5.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:36,2013/08/03T17:00:36,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:37,2013/08/03T17:00:37,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:38,2013/08/03T17:00:38,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:39,2013/08/03T17:00:39,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:41,2013/08/03T17:00:41,         22.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:42,2013/08/03T17:00:42,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:43,2013/08/03T17:00:43,         10.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:45,2013/08/03T17:00:45,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:00:46,2013/08/03T17:00:46,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:22,2013/08/03T17:01:22,          8.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:25,2013/08/03T17:01:25,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:27,2013/08/03T17:01:31,          7.750,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:32,2013/08/03T17:01:32,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:32,2013/08/03T17:01:35,         20.333,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:33,2013/08/03T17:01:33,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:39,2013/08/03T17:01:40,          5.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:50,2013/08/03T17:01:50,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:53,2013/08/03T17:01:54,          9.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:01:54,2013/08/03T17:01:54,          2.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:00,2013/08/03T17:02:01,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:09,2013/08/03T17:02:10,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:11,2013/08/03T17:02:11,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:14,2013/08/03T17:02:15,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:25,2013/08/03T17:02:26,          5.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:27,2013/08/03T17:02:27,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:28,2013/08/03T17:02:29,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:51,2013/08/03T17:02:51,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:02:53,2013/08/03T17:02:54,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:01,2013/08/03T17:03:01,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:02,2013/08/03T17:03:02,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:12,2013/08/03T17:03:13,         23.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:15,2013/08/03T17:03:15,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:20,2013/08/03T17:03:21,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:21,2013/08/03T17:03:27,          5.833,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:26,2013/08/03T17:03:27,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:27,2013/08/03T17:03:27,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:32,2013/08/03T17:03:32,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:38,2013/08/03T17:03:38,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:45,2013/08/03T17:03:45,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:46,2013/08/03T17:03:46,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:03:59,2013/08/03T17:03:59,          8.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:03,2013/08/03T17:04:03,          7.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:03,2013/08/03T17:04:06,         16.333,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:04,2013/08/03T17:04:04,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:15,2013/08/03T17:04:15,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:20,2013/08/03T17:04:20,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:23,2013/08/03T17:04:23,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:25,2013/08/03T17:04:25,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:39,2013/08/03T17:04:39,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:42,2013/08/03T17:04:43,          4.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:04:52,2013/08/03T17:04:52,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:05:00,2013/08/03T17:05:00,          3.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T17:05:07,2013/08/03T17:05:13,          4.833,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:17,2013/08/03T19:10:17,          7.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:19,2013/08/03T19:10:19,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:20,2013/08/03T19:10:21,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:23,2013/08/03T19:10:23,          6.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:27,2013/08/03T19:10:27,          7.000,
                              10.5.19.2,                               10.5.8.2,2013/08/03T19:10:35,2013/08/03T19:10:35,          6.000,
