                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:11,2013/08/03T19:21:11,         66.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:12,2013/08/03T19:21:12,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:12,2013/08/03T19:21:13,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:12,2013/08/03T19:21:14,         24.500,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:13,2013/08/03T19:21:13,        105.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:13,2013/08/03T19:21:14,         48.333,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:14,2013/08/03T19:21:14,        146.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:15,2013/08/03T19:21:15,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:15,2013/08/03T19:21:16,         53.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:16,2013/08/03T19:21:16,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:16,2013/08/03T19:21:17,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:17,2013/08/03T19:21:17,         94.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:17,2013/08/03T19:21:18,         48.500,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:18,2013/08/03T19:21:18,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:20,2013/08/03T19:21:20,         46.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:20,2013/08/03T19:21:21,         56.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:23,2013/08/03T19:21:23,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:23,2013/08/03T19:21:24,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:24,2013/08/03T19:21:24,         48.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:24,2013/08/03T19:21:41,          3.176,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:25,2013/08/03T19:21:25,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         49.500,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:27,2013/08/03T19:21:27,        191.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:27,2013/08/03T19:21:28,         49.750,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:28,2013/08/03T19:21:28,          5.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:28,2013/08/03T19:21:29,         34.667,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:29,2013/08/03T19:21:29,         42.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:30,2013/08/03T19:21:31,         48.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:31,2013/08/03T19:21:31,        107.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:31,2013/08/03T19:21:32,         46.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:32,2013/08/03T19:21:32,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:32,2013/08/03T19:21:33,         54.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:32,2013/08/03T19:21:38,        540.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:33,2013/08/03T19:21:33,         96.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:33,2013/08/03T19:21:34,         51.250,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:33,2013/08/03T19:21:35,         27.750,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:34,2013/08/03T19:21:34,         93.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:34,2013/08/03T19:21:35,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:35,2013/08/03T19:21:35,         58.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:35,2013/08/03T19:21:36,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:35,2013/08/03T19:21:38,         12.333,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:36,2013/08/03T19:21:37,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:36,2013/08/03T19:21:38,         28.500,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:38,2013/08/03T19:21:38,         97.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:39,2013/08/03T19:21:40,         52.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:40,2013/08/03T19:21:40,          4.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:42,2013/08/03T19:21:42,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:44,2013/08/03T19:21:44,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:47,2013/08/03T19:21:47,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:49,2013/08/03T19:21:49,          1.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:54,2013/08/03T19:21:54,         48.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:54,2013/08/03T19:21:55,         48.750,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:56,2013/08/03T19:21:57,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:57,2013/08/03T19:21:57,          2.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:57,2013/08/03T19:21:58,         48.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:58,2013/08/03T19:21:58,          6.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:21:58,2013/08/03T19:22:03,        229.600,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:05,2013/08/03T19:22:05,          3.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:05,2013/08/03T19:22:06,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:06,2013/08/03T19:22:07,         50.500,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:06,2013/08/03T19:22:08,         27.750,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:07,2013/08/03T19:22:07,          8.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:07,2013/08/03T19:22:08,         45.667,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:08,2013/08/03T19:22:08,          7.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:12,2013/08/03T19:22:12,         58.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:12,2013/08/03T19:22:13,         50.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:13,2013/08/03T19:22:13,         51.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:13,2013/08/03T19:22:14,         47.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:13,2013/08/03T19:22:15,         28.000,
                               10.5.1.2,                              10.5.19.2,2013/08/03T19:22:16,2013/08/03T19:22:17,         55.000,
