                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:11,2013/08/03T19:21:11,         73.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:12,2013/08/03T19:21:12,          8.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:12,2013/08/03T19:21:13,         48.500,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:12,2013/08/03T19:21:41,          0.034,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:13,2013/08/03T19:21:13,        143.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:13,2013/08/03T19:21:14,         47.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:14,2013/08/03T19:21:15,         47.667,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:15,2013/08/03T19:21:16,         47.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:16,2013/08/03T19:21:17,         47.667,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:17,2013/08/03T19:21:17,        189.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:17,2013/08/03T19:21:18,         48.500,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:18,2013/08/03T19:21:18,        141.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:18,2013/08/03T19:21:19,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:19,2013/08/03T19:21:19,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:19,2013/08/03T19:21:20,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:20,2013/08/03T19:21:20,        103.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:20,2013/08/03T19:21:21,         49.333,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:21,2013/08/03T19:21:21,        144.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:21,2013/08/03T19:21:22,         49.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:22,2013/08/03T19:21:22,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         49.667,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:23,2013/08/03T19:21:23,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:24,2013/08/03T19:21:24,         95.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:24,2013/08/03T19:21:25,         49.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:25,2013/08/03T19:21:25,        114.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:25,2013/08/03T19:21:26,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:26,2013/08/03T19:21:26,        141.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:27,2013/08/03T19:21:28,         47.500,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:28,2013/08/03T19:21:28,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:28,2013/08/03T19:21:29,         47.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:29,2013/08/03T19:21:29,        132.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:30,2013/08/03T19:21:30,         48.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:30,2013/08/03T19:21:31,         50.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:30,2013/08/03T19:21:32,         24.500,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:31,2013/08/03T19:21:31,        191.000,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:32,2013/08/03T19:21:33,         49.500,
                               10.5.1.2,                               10.5.6.2,2013/08/03T19:21:32,2013/08/03T19:21:34,         25.000,
