                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:11,2013/08/03T19:21:11,         36.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:11,2013/08/03T19:21:12,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:12,2013/08/03T19:21:12,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:12,2013/08/03T19:21:13,         47.667,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:13,2013/08/03T19:21:13,         97.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:13,2013/08/03T19:21:14,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:14,2013/08/03T19:21:14,          2.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:14,2013/08/03T19:21:15,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:15,2013/08/03T19:21:15,        145.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:15,2013/08/03T19:21:16,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:16,2013/08/03T19:21:16,        143.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:17,2013/08/03T19:21:18,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:18,2013/08/03T19:21:18,         95.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:18,2013/08/03T19:21:19,         46.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:18,2013/08/03T19:21:20,         24.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:19,2013/08/03T19:21:19,         46.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:19,2013/08/03T19:21:20,         47.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:20,2013/08/03T19:21:20,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:20,2013/08/03T19:21:21,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:21,2013/08/03T19:21:22,         49.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:22,2013/08/03T19:21:22,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:22,2013/08/03T19:21:24,         27.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:23,2013/08/03T19:21:24,         48.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:24,2013/08/03T19:21:24,         95.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:24,2013/08/03T19:21:25,         47.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:25,2013/08/03T19:21:26,         49.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:25,2013/08/03T19:21:27,         24.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:27,2013/08/03T19:21:28,         46.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:28,2013/08/03T19:21:28,         95.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:28,2013/08/03T19:21:29,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:29,2013/08/03T19:21:29,         83.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:30,2013/08/03T19:21:30,         58.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:30,2013/08/03T19:21:31,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:31,2013/08/03T19:21:31,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:31,2013/08/03T19:21:32,         48.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:32,2013/08/03T19:21:32,        100.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:32,2013/08/03T19:21:33,         48.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:33,2013/08/03T19:21:33,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:33,2013/08/03T19:21:34,         49.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:34,2013/08/03T19:21:34,         47.000,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:34,2013/08/03T19:21:35,         46.500,
                               10.5.1.2,                               10.5.2.2,2013/08/03T19:21:36,2013/08/03T19:21:36,          4.000,
