                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:11,2013/08/03T19:21:11,         42.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:11,2013/08/03T19:21:12,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:12,2013/08/03T19:21:12,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:12,2013/08/03T19:21:13,         51.500,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:13,2013/08/03T19:21:13,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:13,2013/08/03T19:21:14,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:14,2013/08/03T19:21:15,         53.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:15,2013/08/03T19:21:16,         47.500,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:15,2013/08/03T19:21:17,         29.500,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:16,2013/08/03T19:21:16,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:16,2013/08/03T19:21:17,         46.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:16,2013/08/03T19:21:18,         28.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:17,2013/08/03T19:21:17,         51.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:17,2013/08/03T19:21:18,         48.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:20,2013/08/03T19:21:21,         53.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:22,2013/08/03T19:21:22,          6.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         46.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:22,2013/08/03T19:21:41,          3.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:23,2013/08/03T19:21:23,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:23,2013/08/03T19:21:24,         50.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:23,2013/08/03T19:21:25,         25.500,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:24,2013/08/03T19:21:24,         52.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:25,2013/08/03T19:21:26,         50.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:25,2013/08/03T19:21:27,         25.500,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:25,2013/08/03T19:21:28,         16.333,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:26,2013/08/03T19:21:26,         47.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         48.667,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:26,2013/08/03T19:21:28,         21.750,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:27,2013/08/03T19:21:27,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:27,2013/08/03T19:21:30,         17.667,
                               10.5.1.2,                               10.5.9.2,2013/08/03T19:21:28,2013/08/03T19:21:29,         48.000,
