                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:11,2013/08/03T19:21:11,        100.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:11,2013/08/03T19:21:12,         48.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:12,2013/08/03T19:21:12,         49.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:12,2013/08/03T19:21:13,         48.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:13,2013/08/03T19:21:13,          1.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:13,2013/08/03T19:21:14,         49.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:14,2013/08/03T19:21:14,         97.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:14,2013/08/03T19:21:15,         49.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:15,2013/08/03T19:21:15,         48.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:17,2013/08/03T19:21:18,         49.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:18,2013/08/03T19:21:18,        192.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:18,2013/08/03T19:21:19,         47.333,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:18,2013/08/03T19:21:20,         25.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:19,2013/08/03T19:21:19,          1.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:20,2013/08/03T19:21:20,         47.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:20,2013/08/03T19:21:21,         53.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:21,2013/08/03T19:21:21,         50.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:21,2013/08/03T19:21:22,         50.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:22,2013/08/03T19:21:22,          5.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         50.333,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:23,2013/08/03T19:21:23,         54.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:23,2013/08/03T19:21:24,         53.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:23,2013/08/03T19:21:25,         24.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:24,2013/08/03T19:21:24,        140.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:24,2013/08/03T19:21:26,         26.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:25,2013/08/03T19:21:25,         47.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:25,2013/08/03T19:21:26,         52.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         46.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:27,2013/08/03T19:21:27,          1.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:27,2013/08/03T19:21:28,         48.667,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:28,2013/08/03T19:21:28,          1.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:29,2013/08/03T19:21:29,         47.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:30,2013/08/03T19:21:30,         43.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:30,2013/08/03T19:21:31,         53.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:30,2013/08/03T19:21:32,         27.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:31,2013/08/03T19:21:31,         48.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:31,2013/08/03T19:21:32,         48.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:31,2013/08/03T19:21:33,         21.500,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:33,2013/08/03T19:21:33,         94.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:33,2013/08/03T19:21:34,         54.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:33,2013/08/03T19:21:35,         17.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:34,2013/08/03T19:21:34,         47.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:34,2013/08/03T19:21:35,         53.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:35,2013/08/03T19:21:36,         50.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:36,2013/08/03T19:21:36,         47.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:36,2013/08/03T19:21:37,         51.333,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:37,2013/08/03T19:21:37,          1.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:37,2013/08/03T19:21:38,         49.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:38,2013/08/03T19:21:38,         50.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:38,2013/08/03T19:21:39,         53.000,
                               10.5.1.2,                               10.5.5.2,2013/08/03T19:21:38,2013/08/03T19:21:40,         25.000,
