                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:11,2013/08/03T19:21:11,         14.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:11,2013/08/03T19:21:12,         48.500,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:12,2013/08/03T19:21:12,         49.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:13,2013/08/03T19:21:13,         60.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:15,2013/08/03T19:21:16,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:16,2013/08/03T19:21:17,         49.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:17,2013/08/03T19:21:17,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:18,2013/08/03T19:21:19,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:18,2013/08/03T19:21:20,         24.500,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:19,2013/08/03T19:21:19,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:21,2013/08/03T19:21:21,        139.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:21,2013/08/03T19:21:22,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:22,2013/08/03T19:21:22,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:22,2013/08/03T19:21:23,         47.500,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:22,2013/08/03T19:21:24,          5.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:23,2013/08/03T19:21:23,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:23,2013/08/03T19:21:24,         50.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:24,2013/08/03T19:21:24,         52.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:24,2013/08/03T19:21:25,         48.250,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:25,2013/08/03T19:21:25,         50.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:25,2013/08/03T19:21:26,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:26,2013/08/03T19:21:26,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:26,2013/08/03T19:21:27,         47.333,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:27,2013/08/03T19:21:27,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:27,2013/08/03T19:21:28,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:28,2013/08/03T19:21:28,         57.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:28,2013/08/03T19:21:29,         41.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:29,2013/08/03T19:21:29,         60.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:30,2013/08/03T19:21:30,         30.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:30,2013/08/03T19:21:31,         48.500,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:31,2013/08/03T19:21:31,         96.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:31,2013/08/03T19:21:32,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:32,2013/08/03T19:21:32,        145.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:32,2013/08/03T19:21:33,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:33,2013/08/03T19:21:33,         92.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:33,2013/08/03T19:21:34,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:34,2013/08/03T19:21:34,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:34,2013/08/03T19:21:35,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:35,2013/08/03T19:21:35,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:35,2013/08/03T19:21:36,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:35,2013/08/03T19:21:37,         24.250,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:37,2013/08/03T19:21:37,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:37,2013/08/03T19:21:38,         48.200,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:38,2013/08/03T19:21:38,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:38,2013/08/03T19:21:39,         49.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:39,2013/08/03T19:21:40,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:39,2013/08/03T19:21:41,         25.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:40,2013/08/03T19:21:40,         53.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:41,2013/08/03T19:21:41,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:45,2013/08/03T19:21:45,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:46,2013/08/03T19:21:46,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:47,2013/08/03T19:21:47,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:48,2013/08/03T19:21:48,         10.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:50,2013/08/03T19:21:50,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:51,2013/08/03T19:21:51,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:54,2013/08/03T19:21:54,         49.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:55,2013/08/03T19:21:56,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:57,2013/08/03T19:21:57,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:21:57,2013/08/03T19:21:58,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:03,2013/08/03T19:22:03,         45.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:04,2013/08/03T19:22:04,         46.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:04,2013/08/03T19:22:05,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:04,2013/08/03T19:22:06,         21.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:06,2013/08/03T19:22:06,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:06,2013/08/03T19:22:07,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:07,2013/08/03T19:22:08,         35.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:12,2013/08/03T19:22:12,         81.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:13,2013/08/03T19:22:13,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:13,2013/08/03T19:22:14,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:14,2013/08/03T19:22:15,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:15,2013/08/03T19:22:15,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:16,2013/08/03T19:22:17,         47.333,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:17,2013/08/03T19:22:17,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:17,2013/08/03T19:22:18,         12.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:18,2013/08/03T19:22:18,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:18,2013/08/03T19:22:19,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:19,2013/08/03T19:22:19,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:19,2013/08/03T19:22:20,         47.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:20,2013/08/03T19:22:20,         94.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:21,2013/08/03T19:22:21,         48.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:21,2013/08/03T19:22:23,         23.500,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:22,2013/08/03T19:22:23,         49.000,
                               10.5.1.2,                              10.5.12.2,2013/08/03T19:22:23,2013/08/03T19:22:24,         47.000,
