                               10.5.6.2,                              10.5.18.2,2013/08/03T18:25:54,2013/08/03T18:25:54,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:25:57,2013/08/03T18:25:57,         19.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:07,2013/08/03T18:26:08,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:09,2013/08/03T18:26:09,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:11,2013/08/03T18:26:11,         18.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:13,2013/08/03T18:26:13,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:14,2013/08/03T18:26:14,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:21,2013/08/03T18:26:21,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:27,2013/08/03T18:26:27,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:31,2013/08/03T18:26:31,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:31,2013/08/03T18:26:32,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:32,2013/08/03T18:26:32,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:32,2013/08/03T18:26:37,          1.200,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:35,2013/08/03T18:26:36,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:37,2013/08/03T18:26:37,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:38,2013/08/03T18:26:38,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:45,2013/08/03T18:26:45,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:50,2013/08/03T18:26:50,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:55,2013/08/03T18:26:55,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:56,2013/08/03T18:26:56,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:57,2013/08/03T18:26:57,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:26:58,2013/08/03T18:26:58,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:16,2013/08/03T18:27:17,          8.500,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:18,2013/08/03T18:27:18,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:19,2013/08/03T18:27:19,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:20,2013/08/03T18:27:20,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:20,2013/08/03T18:27:21,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:21,2013/08/03T18:27:21,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:24,2013/08/03T18:27:24,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:26,2013/08/03T18:27:26,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:29,2013/08/03T18:27:29,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:43,2013/08/03T18:27:43,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:44,2013/08/03T18:27:44,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:44,2013/08/03T18:27:45,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:46,2013/08/03T18:27:46,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:47,2013/08/03T18:27:48,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:52,2013/08/03T18:27:53,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:55,2013/08/03T18:27:55,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:55,2013/08/03T18:27:56,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:27:56,2013/08/03T18:27:56,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:06,2013/08/03T18:28:06,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:08,2013/08/03T18:28:08,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:08,2013/08/03T18:28:09,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:09,2013/08/03T18:28:09,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:10,2013/08/03T18:28:10,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:11,2013/08/03T18:28:11,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:12,2013/08/03T18:28:12,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:14,2013/08/03T18:28:14,         14.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:15,2013/08/03T18:28:15,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:16,2013/08/03T18:28:17,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:24,2013/08/03T18:28:24,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:30,2013/08/03T18:28:30,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:30,2013/08/03T18:28:32,          6.500,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:31,2013/08/03T18:28:31,         17.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:32,2013/08/03T18:28:32,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:32,2013/08/03T18:28:33,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:33,2013/08/03T18:28:33,         21.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:34,2013/08/03T18:28:34,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:36,2013/08/03T18:28:36,         20.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:38,2013/08/03T18:28:39,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:39,2013/08/03T18:28:40,          4.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:40,2013/08/03T18:28:40,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:41,2013/08/03T18:28:41,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:42,2013/08/03T18:28:42,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:44,2013/08/03T18:28:44,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:45,2013/08/03T18:28:45,         17.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:46,2013/08/03T18:28:46,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:47,2013/08/03T18:28:47,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:54,2013/08/03T18:28:54,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:55,2013/08/03T18:28:56,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:28:59,2013/08/03T18:29:00,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:01,2013/08/03T18:29:01,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:05,2013/08/03T18:29:05,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:08,2013/08/03T18:29:09,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:09,2013/08/03T18:29:09,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:10,2013/08/03T18:29:11,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:13,2013/08/03T18:29:13,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:15,2013/08/03T18:29:15,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:20,2013/08/03T18:29:20,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:24,2013/08/03T18:29:24,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:25,2013/08/03T18:29:25,         31.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:26,2013/08/03T18:29:27,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:28,2013/08/03T18:29:28,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:32,2013/08/03T18:29:32,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:35,2013/08/03T18:29:35,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:35,2013/08/03T18:29:36,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:36,2013/08/03T18:29:36,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:39,2013/08/03T18:29:39,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:46,2013/08/03T18:29:46,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:46,2013/08/03T18:29:47,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:48,2013/08/03T18:29:49,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:29:51,2013/08/03T18:29:51,         27.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:01,2013/08/03T18:30:01,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:02,2013/08/03T18:30:02,         21.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:08,2013/08/03T18:30:08,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:09,2013/08/03T18:30:09,         20.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:16,2013/08/03T18:30:16,         21.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:36,2013/08/03T18:30:36,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:42,2013/08/03T18:30:43,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:43,2013/08/03T18:30:43,         29.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:44,2013/08/03T18:30:44,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:47,2013/08/03T18:30:47,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:50,2013/08/03T18:30:50,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T18:30:53,2013/08/03T18:30:53,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:17,2013/08/03T20:46:17,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:17,2013/08/03T20:46:18,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:21,2013/08/03T20:46:21,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:22,2013/08/03T20:46:22,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:24,2013/08/03T20:46:24,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:25,2013/08/03T20:46:25,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:26,2013/08/03T20:46:26,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:29,2013/08/03T20:46:29,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:30,2013/08/03T20:46:30,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:30,2013/08/03T20:46:31,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:33,2013/08/03T20:46:33,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:35,2013/08/03T20:46:35,         23.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:36,2013/08/03T20:46:36,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:37,2013/08/03T20:46:37,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:41,2013/08/03T20:46:41,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:42,2013/08/03T20:46:42,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:43,2013/08/03T20:46:43,         22.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:43,2013/08/03T20:46:44,         18.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:43,2013/08/03T20:46:45,          3.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:44,2013/08/03T20:46:44,         22.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:47,2013/08/03T20:46:49,          3.500,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:50,2013/08/03T20:46:50,         20.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:51,2013/08/03T20:46:51,         22.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:51,2013/08/03T20:47:01,          0.900,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:52,2013/08/03T20:46:52,         22.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:52,2013/08/03T20:46:53,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:53,2013/08/03T20:46:53,          1.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:53,2013/08/03T20:46:54,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:54,2013/08/03T20:46:54,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:54,2013/08/03T20:46:55,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:55,2013/08/03T20:46:55,          5.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:58,2013/08/03T20:46:58,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:46:59,2013/08/03T20:46:59,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:47:00,2013/08/03T20:47:00,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:47:00,2013/08/03T20:47:02,          3.500,
                               10.5.6.2,                              10.5.18.2,2013/08/03T20:47:01,2013/08/03T20:47:01,         19.000,
