                               10.5.6.2,                               10.5.1.2,2013/08/03T18:25:55,2013/08/03T18:25:55,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:25:56,2013/08/03T18:25:56,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:25:56,2013/08/03T18:25:57,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:25:58,2013/08/03T18:25:58,         19.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:06,2013/08/03T18:26:06,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:08,2013/08/03T18:26:08,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:12,2013/08/03T18:26:12,         13.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:13,2013/08/03T18:26:13,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:14,2013/08/03T18:26:15,          3.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:15,2013/08/03T18:26:15,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:24,2013/08/03T18:26:24,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:25,2013/08/03T18:26:27,          2.500,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:26,2013/08/03T18:26:26,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:31,2013/08/03T18:26:31,         16.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:31,2013/08/03T18:26:32,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:32,2013/08/03T18:26:32,         12.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:33,2013/08/03T18:26:33,          4.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:36,2013/08/03T18:26:36,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:37,2013/08/03T18:26:37,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:38,2013/08/03T18:26:38,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:44,2013/08/03T18:26:44,          8.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:45,2013/08/03T18:26:45,         28.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:46,2013/08/03T18:26:47,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:26:54,2013/08/03T18:26:54,          8.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:08,2013/08/03T18:27:08,         12.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:08,2013/08/03T18:27:09,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:18,2013/08/03T18:27:18,         21.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:22,2013/08/03T18:27:29,          3.857,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:23,2013/08/03T18:27:23,         17.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:25,2013/08/03T18:27:26,          8.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:26,2013/08/03T18:27:26,          9.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:28,2013/08/03T18:27:28,         21.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:29,2013/08/03T18:27:29,          9.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:31,2013/08/03T18:27:31,          3.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:46,2013/08/03T18:27:46,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:46,2013/08/03T18:27:49,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:48,2013/08/03T18:27:48,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:49,2013/08/03T18:27:49,         11.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:50,2013/08/03T18:27:50,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:51,2013/08/03T18:27:51,         10.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:52,2013/08/03T18:27:52,          7.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:55,2013/08/03T18:27:55,          9.000,
                               10.5.6.2,                               10.5.1.2,2013/08/03T18:27:56,2013/08/03T18:27:56,         11.000,
