                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:08,2013/08/03T18:26:08,          4.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:09,2013/08/03T18:26:09,         28.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:09,2013/08/03T18:26:10,         10.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:13,2013/08/03T18:26:13,         19.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:27,2013/08/03T18:26:27,         11.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:31,2013/08/03T18:26:31,          8.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:33,2013/08/03T18:26:33,         11.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:35,2013/08/03T18:26:35,         10.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:37,2013/08/03T18:26:37,          5.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:44,2013/08/03T18:26:44,          8.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:46,2013/08/03T18:26:46,          4.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:46,2013/08/03T18:26:48,          2.500,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:49,2013/08/03T18:26:49,         20.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:50,2013/08/03T18:26:50,         11.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:51,2013/08/03T18:26:51,          7.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:52,2013/08/03T18:26:52,          8.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:54,2013/08/03T18:26:54,         11.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:55,2013/08/03T18:26:55,         20.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:26:58,2013/08/03T18:26:58,          7.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:27:06,2013/08/03T18:27:06,          4.000,
                               10.5.6.2,                               10.5.2.2,2013/08/03T18:27:08,2013/08/03T18:27:08,         10.000,
