                               10.5.6.2,                              10.5.16.2,2013/08/03T18:25:55,2013/08/03T18:25:55,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:25:56,2013/08/03T18:25:56,         20.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:25:57,2013/08/03T18:25:57,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:05,2013/08/03T18:26:05,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:06,2013/08/03T18:26:06,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:09,2013/08/03T18:26:09,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:11,2013/08/03T18:26:11,         14.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:12,2013/08/03T18:26:13,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:13,2013/08/03T18:26:13,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:14,2013/08/03T18:26:14,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:21,2013/08/03T18:26:21,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:22,2013/08/03T18:26:22,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:23,2013/08/03T18:26:23,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:25,2013/08/03T18:26:25,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:31,2013/08/03T18:26:31,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:31,2013/08/03T18:26:32,          4.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:32,2013/08/03T18:26:32,          1.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:33,2013/08/03T18:26:33,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:34,2013/08/03T18:26:34,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:37,2013/08/03T18:26:38,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:39,2013/08/03T18:26:39,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:50,2013/08/03T18:26:50,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:54,2013/08/03T18:26:54,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:26:57,2013/08/03T18:26:58,          4.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:05,2013/08/03T18:27:05,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:05,2013/08/03T18:27:06,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:09,2013/08/03T18:27:09,         15.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:13,2013/08/03T18:27:13,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:16,2013/08/03T18:27:16,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:17,2013/08/03T18:27:17,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:17,2013/08/03T18:27:18,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:19,2013/08/03T18:27:19,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:20,2013/08/03T18:27:20,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:21,2013/08/03T18:27:21,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:23,2013/08/03T18:27:24,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:25,2013/08/03T18:27:25,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:27,2013/08/03T18:27:27,         17.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:28,2013/08/03T18:27:28,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:31,2013/08/03T18:27:31,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:45,2013/08/03T18:27:45,         20.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:47,2013/08/03T18:27:47,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:49,2013/08/03T18:27:49,         12.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:53,2013/08/03T18:27:53,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:54,2013/08/03T18:27:54,         18.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:27:55,2013/08/03T18:27:55,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:08,2013/08/03T18:28:08,          6.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:09,2013/08/03T18:28:09,         21.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:12,2013/08/03T18:28:12,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:14,2013/08/03T18:28:14,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:15,2013/08/03T18:28:15,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:19,2013/08/03T18:28:19,         20.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:22,2013/08/03T18:28:22,         33.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:24,2013/08/03T18:28:24,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:25,2013/08/03T18:28:25,         20.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:31,2013/08/03T18:28:31,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:33,2013/08/03T18:28:33,          4.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:36,2013/08/03T18:28:36,         31.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:38,2013/08/03T18:28:38,         21.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:39,2013/08/03T18:28:39,         13.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:40,2013/08/03T18:28:40,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:48,2013/08/03T18:28:48,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:54,2013/08/03T18:28:54,          5.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:56,2013/08/03T18:28:56,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:28:59,2013/08/03T18:28:59,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:01,2013/08/03T18:29:01,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:03,2013/08/03T18:29:03,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:04,2013/08/03T18:29:04,         13.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:06,2013/08/03T18:29:06,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:08,2013/08/03T18:29:08,          1.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:10,2013/08/03T18:29:10,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:11,2013/08/03T18:29:11,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:16,2013/08/03T18:29:16,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:19,2013/08/03T18:29:20,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:21,2013/08/03T18:29:22,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:22,2013/08/03T18:29:22,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:23,2013/08/03T18:29:23,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:23,2013/08/03T18:29:24,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:24,2013/08/03T18:29:24,         13.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:26,2013/08/03T18:29:26,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:28,2013/08/03T18:29:28,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:29,2013/08/03T18:29:29,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:33,2013/08/03T18:29:33,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:36,2013/08/03T18:29:36,         18.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:37,2013/08/03T18:29:37,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:38,2013/08/03T18:29:39,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:39,2013/08/03T18:29:39,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:40,2013/08/03T18:29:40,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:41,2013/08/03T18:29:41,         20.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:43,2013/08/03T18:29:43,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:29:48,2013/08/03T18:29:48,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:01,2013/08/03T18:30:01,          7.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:03,2013/08/03T18:30:03,          3.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:04,2013/08/03T18:30:04,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:05,2013/08/03T18:30:05,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:07,2013/08/03T18:30:07,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:07,2013/08/03T18:30:08,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:10,2013/08/03T18:30:10,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:13,2013/08/03T18:30:13,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:14,2013/08/03T18:30:15,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:15,2013/08/03T18:30:15,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:38,2013/08/03T18:30:38,         18.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:42,2013/08/03T18:30:42,          1.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:43,2013/08/03T18:30:44,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:44,2013/08/03T18:30:44,         13.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:45,2013/08/03T18:30:46,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:46,2013/08/03T18:30:46,         10.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:50,2013/08/03T18:30:50,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:51,2013/08/03T18:30:51,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:51,2013/08/03T18:30:52,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T18:30:52,2013/08/03T18:30:53,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:16,2013/08/03T20:46:16,          2.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:17,2013/08/03T20:46:17,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:20,2013/08/03T20:46:20,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:24,2013/08/03T20:46:24,         22.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:25,2013/08/03T20:46:25,         19.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:27,2013/08/03T20:46:27,         22.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:28,2013/08/03T20:46:28,         13.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:28,2013/08/03T20:46:29,          8.500,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:29,2013/08/03T20:46:29,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:29,2013/08/03T20:46:31,          3.500,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:30,2013/08/03T20:46:30,          1.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:31,2013/08/03T20:46:31,          9.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:32,2013/08/03T20:46:32,         18.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:33,2013/08/03T20:46:34,          6.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:35,2013/08/03T20:46:35,         11.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:37,2013/08/03T20:46:37,         23.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:39,2013/08/03T20:46:39,          8.000,
                               10.5.6.2,                              10.5.16.2,2013/08/03T20:46:40,2013/08/03T20:46:40,          5.000,
