                               10.5.6.2,                               10.5.9.2,2013/08/03T18:25:58,2013/08/03T18:25:58,         19.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:06,2013/08/03T18:26:06,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:09,2013/08/03T18:26:09,         28.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:10,2013/08/03T18:26:10,         15.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:12,2013/08/03T18:26:12,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:14,2013/08/03T18:26:14,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:22,2013/08/03T18:26:22,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:23,2013/08/03T18:26:23,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:25,2013/08/03T18:26:25,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:26,2013/08/03T18:26:26,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:31,2013/08/03T18:26:31,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:32,2013/08/03T18:26:34,          2.500,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:33,2013/08/03T18:26:33,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:34,2013/08/03T18:26:34,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:47,2013/08/03T18:26:47,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:48,2013/08/03T18:26:48,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:49,2013/08/03T18:26:49,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:52,2013/08/03T18:26:52,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:53,2013/08/03T18:26:53,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:56,2013/08/03T18:26:56,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:57,2013/08/03T18:26:57,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:26:57,2013/08/03T18:26:58,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:05,2013/08/03T18:27:09,          6.750,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:07,2013/08/03T18:27:07,         16.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:10,2013/08/03T18:27:10,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:14,2013/08/03T18:27:14,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:17,2013/08/03T18:27:17,         20.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:18,2013/08/03T18:27:18,         29.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:19,2013/08/03T18:27:19,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:20,2013/08/03T18:27:20,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:22,2013/08/03T18:27:22,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:25,2013/08/03T18:27:25,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:26,2013/08/03T18:27:27,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:28,2013/08/03T18:27:28,         21.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:30,2013/08/03T18:27:30,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:43,2013/08/03T18:27:43,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:43,2013/08/03T18:27:44,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:45,2013/08/03T18:27:45,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:46,2013/08/03T18:27:47,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:47,2013/08/03T18:27:50,          2.667,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:49,2013/08/03T18:27:49,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:50,2013/08/03T18:27:50,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:51,2013/08/03T18:27:51,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:52,2013/08/03T18:27:52,         16.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:54,2013/08/03T18:27:54,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:27:56,2013/08/03T18:27:56,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:08,2013/08/03T18:28:08,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:10,2013/08/03T18:28:10,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:11,2013/08/03T18:28:11,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:22,2013/08/03T18:28:23,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:24,2013/08/03T18:28:24,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:26,2013/08/03T18:28:26,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:29,2013/08/03T18:28:30,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:32,2013/08/03T18:28:32,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:33,2013/08/03T18:28:34,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:36,2013/08/03T18:28:36,         13.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:37,2013/08/03T18:28:38,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:43,2013/08/03T18:28:43,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:44,2013/08/03T18:28:44,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:47,2013/08/03T18:28:47,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:48,2013/08/03T18:28:48,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:51,2013/08/03T18:28:51,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:51,2013/08/03T18:28:52,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:53,2013/08/03T18:28:53,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:28:56,2013/08/03T18:28:56,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:00,2013/08/03T18:29:01,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:03,2013/08/03T18:29:03,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:04,2013/08/03T18:29:04,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:06,2013/08/03T18:29:06,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:07,2013/08/03T18:29:07,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:08,2013/08/03T18:29:08,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:13,2013/08/03T18:29:13,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:13,2013/08/03T18:29:14,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:14,2013/08/03T18:29:15,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:15,2013/08/03T18:29:15,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:16,2013/08/03T18:29:16,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:20,2013/08/03T18:29:21,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:21,2013/08/03T18:29:22,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:22,2013/08/03T18:29:22,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:24,2013/08/03T18:29:25,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:27,2013/08/03T18:29:27,         13.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:31,2013/08/03T18:29:32,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:31,2013/08/03T18:29:36,          4.400,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:33,2013/08/03T18:29:34,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:35,2013/08/03T18:29:35,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:37,2013/08/03T18:29:37,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:37,2013/08/03T18:29:38,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:39,2013/08/03T18:29:39,         21.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:40,2013/08/03T18:29:40,         19.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:44,2013/08/03T18:29:45,          9.500,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:45,2013/08/03T18:29:45,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:46,2013/08/03T18:29:47,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:47,2013/08/03T18:29:47,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:49,2013/08/03T18:29:49,         19.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:29:53,2013/08/03T18:29:53,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:30:02,2013/08/03T18:30:02,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:30:03,2013/08/03T18:30:03,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:30:04,2013/08/03T18:30:05,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:30:09,2013/08/03T18:30:09,         14.000,
                               10.5.6.2,                               10.5.9.2,2013/08/03T18:30:10,2013/08/03T18:30:10,          9.000,
