                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:05,2013/08/03T18:26:05,          4.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:06,2013/08/03T18:26:12,        625.500,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:07,2013/08/03T18:26:07,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:07,2013/08/03T18:26:08,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:10,2013/08/03T18:26:10,         18.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:11,2013/08/03T18:26:11,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:12,2013/08/03T18:26:12,         12.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:13,2013/08/03T18:26:13,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:14,2013/08/03T18:26:14,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:20,2013/08/03T18:26:20,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:21,2013/08/03T18:26:21,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:22,2013/08/03T18:26:22,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:24,2013/08/03T18:26:24,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:25,2013/08/03T18:26:25,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:34,2013/08/03T18:26:34,         12.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:35,2013/08/03T18:26:35,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:36,2013/08/03T18:26:36,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:38,2013/08/03T18:26:38,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:39,2013/08/03T18:26:39,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:45,2013/08/03T18:26:45,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:45,2013/08/03T18:26:46,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:47,2013/08/03T18:26:47,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:48,2013/08/03T18:26:48,         34.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:52,2013/08/03T18:26:52,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:56,2013/08/03T18:26:57,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:26:58,2013/08/03T18:26:58,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:05,2013/08/03T18:27:05,         19.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:10,2013/08/03T18:27:10,         18.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:14,2013/08/03T18:27:14,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:16,2013/08/03T18:27:16,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:17,2013/08/03T18:27:17,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:18,2013/08/03T18:27:18,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:20,2013/08/03T18:27:21,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:28,2013/08/03T18:27:28,         21.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:29,2013/08/03T18:27:29,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:42,2013/08/03T18:27:43,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:43,2013/08/03T18:27:43,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:47,2013/08/03T18:27:47,         32.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:48,2013/08/03T18:27:48,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:50,2013/08/03T18:27:50,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:51,2013/08/03T18:27:51,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:27:54,2013/08/03T18:27:54,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:12,2013/08/03T18:28:12,         17.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:13,2013/08/03T18:28:13,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:17,2013/08/03T18:28:17,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:19,2013/08/03T18:28:19,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:22,2013/08/03T18:28:22,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:24,2013/08/03T18:28:24,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:27,2013/08/03T18:28:27,         12.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:29,2013/08/03T18:28:29,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:30,2013/08/03T18:28:30,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:33,2013/08/03T18:28:34,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:36,2013/08/03T18:28:36,         21.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:42,2013/08/03T18:28:42,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:42,2013/08/03T18:28:43,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:43,2013/08/03T18:28:43,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:45,2013/08/03T18:28:45,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:49,2013/08/03T18:28:49,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:55,2013/08/03T18:28:56,         13.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:28:59,2013/08/03T18:29:00,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:01,2013/08/03T18:29:01,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:03,2013/08/03T18:29:08,        728.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:04,2013/08/03T18:29:04,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:04,2013/08/03T18:29:05,          4.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:05,2013/08/03T18:29:05,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:09,2013/08/03T18:29:09,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:09,2013/08/03T18:29:10,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:10,2013/08/03T18:29:10,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:11,2013/08/03T18:29:11,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:12,2013/08/03T18:29:12,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:17,2013/08/03T18:29:17,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:18,2013/08/03T18:29:19,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:19,2013/08/03T18:29:19,         21.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:20,2013/08/03T18:29:21,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:26,2013/08/03T18:29:26,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:27,2013/08/03T18:29:27,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:32,2013/08/03T18:29:32,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:33,2013/08/03T18:29:33,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:35,2013/08/03T18:29:35,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:36,2013/08/03T18:29:36,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:37,2013/08/03T18:29:37,         19.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:38,2013/08/03T18:29:38,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:42,2013/08/03T18:29:42,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:43,2013/08/03T18:29:43,         19.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:43,2013/08/03T18:29:44,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:44,2013/08/03T18:29:44,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:45,2013/08/03T18:29:45,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:45,2013/08/03T18:29:46,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:46,2013/08/03T18:29:46,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:29:52,2013/08/03T18:29:52,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:01,2013/08/03T18:30:01,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:03,2013/08/03T18:30:03,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:10,2013/08/03T18:30:11,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:13,2013/08/03T18:30:14,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:14,2013/08/03T18:30:14,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:15,2013/08/03T18:30:15,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:35,2013/08/03T18:30:35,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:40,2013/08/03T18:30:43,          2.667,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:48,2013/08/03T18:30:48,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:49,2013/08/03T18:30:49,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:51,2013/08/03T18:30:51,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T18:30:52,2013/08/03T18:30:53,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:16,2013/08/03T20:46:16,         36.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:17,2013/08/03T20:46:17,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:17,2013/08/03T20:46:18,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:18,2013/08/03T20:46:18,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:21,2013/08/03T20:46:21,         22.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:22,2013/08/03T20:46:22,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:22,2013/08/03T20:46:23,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:25,2013/08/03T20:46:25,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:26,2013/08/03T20:46:26,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:28,2013/08/03T20:46:29,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:29,2013/08/03T20:46:29,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:31,2013/08/03T20:46:31,         12.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:31,2013/08/03T20:46:32,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:35,2013/08/03T20:46:35,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:36,2013/08/03T20:46:36,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:37,2013/08/03T20:46:37,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:38,2013/08/03T20:46:38,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:39,2013/08/03T20:46:40,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:40,2013/08/03T20:46:40,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:41,2013/08/03T20:46:41,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:42,2013/08/03T20:46:42,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:43,2013/08/03T20:46:43,         38.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:45,2013/08/03T20:46:46,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:46,2013/08/03T20:46:46,         22.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:47,2013/08/03T20:46:47,         21.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:49,2013/08/03T20:46:49,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:52,2013/08/03T20:46:53,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:53,2013/08/03T20:46:53,         12.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:56,2013/08/03T20:46:56,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:57,2013/08/03T20:46:57,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:58,2013/08/03T20:46:58,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:46:58,2013/08/03T20:46:59,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:00,2013/08/03T20:47:00,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:00,2013/08/03T20:47:01,          8.500,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:01,2013/08/03T20:47:01,         14.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:03,2013/08/03T20:47:03,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:03,2013/08/03T20:47:05,          4.000,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:03,2013/08/03T20:47:22,          0.421,
                               10.5.6.2,                              10.5.11.2,2013/08/03T20:47:04,2013/08/03T20:47:04,          1.000,
