                               10.5.6.2,                              10.5.13.2,2013/08/03T18:25:56,2013/08/03T18:25:56,          8.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:25:57,2013/08/03T18:25:57,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:25:58,2013/08/03T18:25:58,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:06,2013/08/03T18:26:06,          8.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:07,2013/08/03T18:26:07,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:08,2013/08/03T18:26:08,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:11,2013/08/03T18:26:11,         12.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:13,2013/08/03T18:26:13,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:14,2013/08/03T18:26:14,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:19,2013/08/03T18:26:22,          6.667,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:23,2013/08/03T18:26:23,          8.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:24,2013/08/03T18:26:24,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:26,2013/08/03T18:26:26,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:32,2013/08/03T18:26:32,         18.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:32,2013/08/03T18:26:37,        745.600,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:33,2013/08/03T18:26:33,         37.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:34,2013/08/03T18:26:35,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:35,2013/08/03T18:26:35,         14.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:36,2013/08/03T18:26:36,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:37,2013/08/03T18:26:37,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:38,2013/08/03T18:26:38,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:39,2013/08/03T18:26:39,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:44,2013/08/03T18:26:44,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:46,2013/08/03T18:26:46,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:47,2013/08/03T18:26:47,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:48,2013/08/03T18:26:48,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:49,2013/08/03T18:26:49,         25.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:50,2013/08/03T18:26:50,         27.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:51,2013/08/03T18:26:51,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:52,2013/08/03T18:26:52,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:52,2013/08/03T18:26:53,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:26:56,2013/08/03T18:26:56,         18.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:06,2013/08/03T18:27:06,          5.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:08,2013/08/03T18:27:08,          3.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:16,2013/08/03T18:27:16,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:17,2013/08/03T18:27:17,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:19,2013/08/03T18:27:19,          4.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:24,2013/08/03T18:27:24,         18.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:29,2013/08/03T18:27:29,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:30,2013/08/03T18:27:31,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:43,2013/08/03T18:27:43,         12.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:45,2013/08/03T18:27:45,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:46,2013/08/03T18:27:46,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:48,2013/08/03T18:27:48,         13.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:49,2013/08/03T18:27:49,         12.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:51,2013/08/03T18:27:52,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:52,2013/08/03T18:27:52,         17.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:27:57,2013/08/03T18:27:57,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:09,2013/08/03T18:28:09,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:10,2013/08/03T18:28:10,         37.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:11,2013/08/03T18:28:11,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:12,2013/08/03T18:28:12,         11.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:13,2013/08/03T18:28:13,         10.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:14,2013/08/03T18:28:14,         17.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:16,2013/08/03T18:28:16,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:16,2013/08/03T18:28:17,          7.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:17,2013/08/03T18:28:17,         18.000,
                               10.5.6.2,                              10.5.13.2,2013/08/03T18:28:20,2013/08/03T18:28:20,         10.000,
