                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:41,2013/08/03T23:26:43,          2.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:42,2013/08/03T23:26:43,          5.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:44,2013/08/03T23:26:44,         42.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:46,2013/08/03T23:26:46,          7.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:49,2013/08/03T23:26:49,         45.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         17.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:56,2013/08/03T23:26:56,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:26:59,2013/08/03T23:26:59,         41.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:03,2013/08/03T23:27:03,         51.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:05,2013/08/03T23:27:05,         43.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:06,2013/08/03T23:27:06,         42.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:08,2013/08/03T23:27:08,          2.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:10,2013/08/03T23:27:10,         51.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:12,2013/08/03T23:27:12,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:12,2013/08/03T23:27:14,          8.500,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:14,2013/08/03T23:27:14,          1.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:16,2013/08/03T23:27:16,         93.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:18,2013/08/03T23:27:18,          4.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:24,2013/08/03T23:27:24,         49.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:25,2013/08/03T23:27:25,         87.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:26,2013/08/03T23:27:26,          9.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:26,2013/08/03T23:27:32,          0.833,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:27,2013/08/03T23:27:27,         47.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:29,2013/08/03T23:27:29,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:34,2013/08/03T23:27:34,         42.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:35,2013/08/03T23:27:35,         87.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:35,2013/08/03T23:27:37,         71.500,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:35,2013/08/03T23:27:40,          3.400,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:36,2013/08/03T23:27:36,         88.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:37,2013/08/03T23:27:37,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:38,2013/08/03T23:27:39,         45.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:39,2013/08/03T23:27:39,         55.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:39,2013/08/03T23:27:40,         16.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:40,2013/08/03T23:27:40,          1.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:42,2013/08/03T23:27:42,        100.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:45,2013/08/03T23:27:45,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:54,2013/08/03T23:27:59,          1.200,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:56,2013/08/03T23:27:56,         47.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:58,2013/08/03T23:27:58,         85.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:27:59,2013/08/03T23:27:59,          1.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:00,2013/08/03T23:28:00,         34.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:01,2013/08/03T23:28:01,         45.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:02,2013/08/03T23:28:02,          5.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:03,2013/08/03T23:28:03,         88.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:04,2013/08/03T23:28:04,         42.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:04,2013/08/03T23:29:04,          0.150,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:05,2013/08/03T23:28:05,          6.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:06,2013/08/03T23:28:06,         42.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:08,2013/08/03T23:28:09,         16.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:09,2013/08/03T23:28:09,         13.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:10,2013/08/03T23:28:11,          5.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:13,2013/08/03T23:28:13,         17.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:14,2013/08/03T23:28:14,         64.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:15,2013/08/03T23:28:15,         47.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:17,2013/08/03T23:28:17,         89.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:22,2013/08/03T23:28:22,         43.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:25,2013/08/03T23:28:25,         61.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:26,2013/08/03T23:28:26,         46.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:27,2013/08/03T23:28:27,         79.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:29,2013/08/03T23:28:29,         94.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:30,2013/08/03T23:28:30,         23.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:31,2013/08/03T23:28:31,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:31,2013/08/03T23:28:37,          6.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:33,2013/08/03T23:28:33,         46.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:34,2013/08/03T23:28:34,         29.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:37,2013/08/03T23:28:37,         54.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:37,2013/08/03T23:28:38,         15.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:38,2013/08/03T23:28:38,          1.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:40,2013/08/03T23:28:40,         36.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:41,2013/08/03T23:28:41,         26.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:43,2013/08/03T23:28:43,         59.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:43,2013/08/03T23:28:53,          0.500,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:46,2013/08/03T23:28:46,         17.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:47,2013/08/03T23:28:47,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:48,2013/08/03T23:28:48,          5.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:49,2013/08/03T23:28:50,          4.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:52,2013/08/03T23:28:52,         43.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:54,2013/08/03T23:28:54,          7.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:28:58,2013/08/03T23:28:59,         47.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:00,2013/08/03T23:29:00,         45.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:03,2013/08/03T23:29:03,         86.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:03,2013/08/03T23:29:04,         14.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:04,2013/08/03T23:29:04,          2.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:05,2013/08/03T23:29:05,         43.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:06,2013/08/03T23:29:07,         44.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:08,2013/08/03T23:29:08,         35.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:11,2013/08/03T23:29:11,         41.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:12,2013/08/03T23:29:12,         54.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:13,2013/08/03T23:29:13,         30.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:14,2013/08/03T23:29:14,         43.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:15,2013/08/03T23:29:15,         50.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:17,2013/08/03T23:29:17,         16.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:20,2013/08/03T23:29:20,         46.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:23,2013/08/03T23:29:23,          4.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:25,2013/08/03T23:29:25,         94.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:26,2013/08/03T23:29:26,         14.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:26,2013/08/03T23:29:27,         41.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:27,2013/08/03T23:29:27,         89.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:28,2013/08/03T23:29:28,         35.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:30,2013/08/03T23:29:30,         26.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:31,2013/08/03T23:29:31,         61.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:32,2013/08/03T23:29:32,         47.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:39,2013/08/03T23:29:39,          4.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:43,2013/08/03T23:29:43,         87.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:43,2013/08/03T23:30:44,          0.148,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:44,2013/08/03T23:29:44,          4.000,
                               10.5.7.2,                              10.5.15.2,2013/08/03T23:29:44,2013/08/03T23:29:46,          5.500,
