                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:40,2013/08/03T23:26:41,         34.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:41,2013/08/03T23:26:41,          1.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:42,2013/08/03T23:26:42,         41.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:44,2013/08/03T23:26:44,          9.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:44,2013/08/03T23:26:45,         15.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:45,2013/08/03T23:26:45,         68.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:46,2013/08/03T23:26:46,         43.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:50,2013/08/03T23:26:50,         61.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:50,2013/08/03T23:26:51,         48.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:52,2013/08/03T23:26:53,         31.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:53,2013/08/03T23:26:53,          2.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:56,2013/08/03T23:26:56,         45.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:26:59,2013/08/03T23:26:59,         40.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:00,2013/08/03T23:27:00,         12.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:04,2013/08/03T23:27:09,          1.400,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:09,2013/08/03T23:27:09,          3.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:10,2013/08/03T23:27:10,          3.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:14,2013/08/03T23:27:14,         34.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:18,2013/08/03T23:27:18,         42.000,
                               10.5.7.2,                              10.5.19.2,2013/08/03T23:27:22,2013/08/03T23:27:22,         56.000,
