                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:42,2013/08/03T23:26:42,         42.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:45,2013/08/03T23:26:45,         42.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:49,2013/08/03T23:26:50,          3.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:50,2013/08/03T23:26:50,          7.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:52,2013/08/03T23:26:52,         88.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:52,2013/08/03T23:26:53,         16.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:53,2013/08/03T23:26:53,          1.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:57,2013/08/03T23:26:57,         15.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:26:59,2013/08/03T23:26:59,         42.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:00,2013/08/03T23:27:00,         41.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:01,2013/08/03T23:27:01,         62.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:02,2013/08/03T23:27:03,         15.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:02,2013/08/03T23:27:04,          1.500,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:03,2013/08/03T23:27:03,          1.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:03,2013/08/03T23:27:04,          8.500,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:04,2013/08/03T23:27:04,          1.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:06,2013/08/03T23:27:06,          1.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:07,2013/08/03T23:27:07,          3.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:08,2013/08/03T23:27:08,          4.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:09,2013/08/03T23:27:09,         53.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:10,2013/08/03T23:27:10,         52.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:17,2013/08/03T23:27:17,         45.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:25,2013/08/03T23:27:25,         51.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:26,2013/08/03T23:27:26,         17.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:27,2013/08/03T23:27:27,         42.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:28,2013/08/03T23:27:28,         32.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:29,2013/08/03T23:27:30,         15.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:30,2013/08/03T23:27:30,          1.000,
                               10.5.7.2,                              10.5.14.2,2013/08/03T23:27:32,2013/08/03T23:27:32,         46.000,
