                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:40,2013/08/03T23:27:40,          0.067,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:41,2013/08/03T23:26:42,         39.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:43,2013/08/03T23:26:44,         14.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:44,2013/08/03T23:26:44,          1.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:45,2013/08/03T23:26:45,          8.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         51.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:52,2013/08/03T23:26:52,         44.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:53,2013/08/03T23:26:53,         12.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:56,2013/08/03T23:26:56,         40.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:26:59,2013/08/03T23:27:04,          0.800,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:00,2013/08/03T23:27:00,         87.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:02,2013/08/03T23:27:02,         43.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:03,2013/08/03T23:27:03,          4.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:04,2013/08/03T23:27:04,         42.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:04,2013/08/03T23:27:05,         15.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:05,2013/08/03T23:27:05,         84.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:09,2013/08/03T23:27:09,         44.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:11,2013/08/03T23:27:11,         43.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:11,2013/08/03T23:27:13,          7.500,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:13,2013/08/03T23:27:13,          1.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:17,2013/08/03T23:27:17,          5.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:18,2013/08/03T23:27:18,         43.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:23,2013/08/03T23:27:23,         44.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:23,2013/08/03T23:27:24,         38.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:24,2013/08/03T23:27:24,          2.000,
                               10.5.7.2,                              10.5.10.2,2013/08/03T23:27:26,2013/08/03T23:27:26,         43.000,
