                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:40,2013/08/03T23:26:40,         44.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:41,2013/08/03T23:26:42,         15.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:42,2013/08/03T23:26:42,          1.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:43,2013/08/03T23:26:43,         43.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:46,2013/08/03T23:26:46,         48.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         46.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:52,2013/08/03T23:26:52,         46.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:26:53,2013/08/03T23:26:53,         25.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:01,2013/08/03T23:27:01,         54.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:04,2013/08/03T23:27:04,         50.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:06,2013/08/03T23:27:06,         28.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:06,2013/08/03T23:27:07,         19.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:07,2013/08/03T23:27:07,         42.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:07,2013/08/03T23:27:08,         16.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:08,2013/08/03T23:27:08,          1.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:11,2013/08/03T23:27:11,         43.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:13,2013/08/03T23:27:13,         44.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:14,2013/08/03T23:27:14,         40.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:15,2013/08/03T23:27:16,         46.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:18,2013/08/03T23:27:18,         26.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:22,2013/08/03T23:27:23,         18.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:23,2013/08/03T23:27:23,         47.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:23,2013/08/03T23:27:24,         44.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:24,2013/08/03T23:27:24,         51.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:27,2013/08/03T23:27:27,         47.000,
                               10.5.7.2,                              10.5.16.2,2013/08/03T23:27:31,2013/08/03T23:27:31,         44.000,
