                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:40,2013/08/03T23:26:40,          1.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:41,2013/08/03T23:26:41,         70.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:42,2013/08/03T23:26:42,         49.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:43,2013/08/03T23:26:43,         59.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:43,2013/08/03T23:26:44,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:44,2013/08/03T23:26:44,         40.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:45,2013/08/03T23:26:45,          5.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:45,2013/08/03T23:26:46,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:46,2013/08/03T23:26:46,          1.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:48,2013/08/03T23:26:48,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:49,2013/08/03T23:26:49,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:56,2013/08/03T23:26:56,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:26:57,2013/08/03T23:26:57,         51.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:01,2013/08/03T23:27:01,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:02,2013/08/03T23:27:02,         57.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:03,2013/08/03T23:27:03,         45.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:03,2013/08/03T23:27:04,          2.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:04,2013/08/03T23:27:04,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:05,2013/08/03T23:27:05,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:07,2013/08/03T23:27:07,         34.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:07,2013/08/03T23:27:08,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:08,2013/08/03T23:27:08,         60.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:09,2013/08/03T23:27:09,         41.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:11,2013/08/03T23:27:11,         42.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:12,2013/08/03T23:27:12,          7.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:13,2013/08/03T23:27:13,         10.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:16,2013/08/03T23:27:16,          3.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:17,2013/08/03T23:27:17,          7.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:22,2013/08/03T23:27:23,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:22,2013/08/03T23:27:24,          2.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:23,2013/08/03T23:27:23,          6.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:23,2013/08/03T23:27:24,          6.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:24,2013/08/03T23:27:24,         39.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:28,2013/08/03T23:27:28,         55.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:30,2013/08/03T23:27:30,         17.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:32,2013/08/03T23:27:32,         45.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:34,2013/08/03T23:27:34,         32.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:39,2013/08/03T23:27:39,         56.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:40,2013/08/03T23:27:40,         52.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:41,2013/08/03T23:27:42,         17.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:42,2013/08/03T23:27:42,          1.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:44,2013/08/03T23:27:44,         50.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:44,2013/08/03T23:27:50,          0.667,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:49,2013/08/03T23:27:49,         51.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:49,2013/08/03T23:27:54,          0.800,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:54,2013/08/03T23:27:54,          5.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:55,2013/08/03T23:27:55,         88.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:57,2013/08/03T23:27:57,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:27:58,2013/08/03T23:27:59,          4.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:00,2013/08/03T23:28:00,         46.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:02,2013/08/03T23:28:02,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:03,2013/08/03T23:28:03,          6.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:04,2013/08/03T23:28:05,         29.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:07,2013/08/03T23:28:07,         87.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:08,2013/08/03T23:28:08,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:12,2013/08/03T23:28:12,         51.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:14,2013/08/03T23:28:14,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:18,2013/08/03T23:28:18,         51.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:25,2013/08/03T23:28:25,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:29,2013/08/03T23:28:29,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:37,2013/08/03T23:28:37,         41.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:40,2013/08/03T23:28:41,          5.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:45,2013/08/03T23:28:45,          1.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:45,2013/08/03T23:28:50,          1.400,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:46,2013/08/03T23:28:46,         46.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:48,2013/08/03T23:28:48,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:50,2013/08/03T23:28:50,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:52,2013/08/03T23:28:53,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:53,2013/08/03T23:28:53,         11.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:53,2013/08/03T23:28:54,         14.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:54,2013/08/03T23:28:54,         18.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:56,2013/08/03T23:28:56,         45.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:28:59,2013/08/03T23:28:59,          8.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:03,2013/08/03T23:29:04,          8.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:06,2013/08/03T23:29:06,         34.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:06,2013/08/03T23:29:07,         16.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:07,2013/08/03T23:29:07,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:09,2013/08/03T23:29:09,         33.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:10,2013/08/03T23:29:10,         42.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:11,2013/08/03T23:29:11,         41.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:12,2013/08/03T23:29:12,         49.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:12,2013/08/03T23:29:13,          7.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:13,2013/08/03T23:29:13,          7.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:13,2013/08/03T23:29:14,         17.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:14,2013/08/03T23:29:14,         73.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:15,2013/08/03T23:29:15,         37.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:16,2013/08/03T23:30:16,          0.167,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:17,2013/08/03T23:29:17,         45.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:20,2013/08/03T23:29:20,         42.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:20,2013/08/03T23:29:21,          4.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:23,2013/08/03T23:29:23,         50.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:23,2013/08/03T23:29:24,          6.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:24,2013/08/03T23:29:25,          3.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:28,2013/08/03T23:29:28,         40.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:28,2013/08/03T23:29:29,         15.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:29,2013/08/03T23:29:29,         53.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:35,2013/08/03T23:29:35,         50.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:36,2013/08/03T23:29:36,          7.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:44,2013/08/03T23:29:51,          2.714,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:45,2013/08/03T23:29:45,         43.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:45,2013/08/03T23:29:46,         40.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:47,2013/08/03T23:29:47,         44.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:47,2013/08/03T23:29:51,          1.500,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:48,2013/08/03T23:29:48,         87.000,
                               10.5.7.2,                               10.5.4.2,2013/08/03T23:29:50,2013/08/03T23:29:50,         41.000,
