                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:42,2013/08/03T23:26:42,         85.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:43,2013/08/03T23:26:43,         43.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:49,2013/08/03T23:26:49,         32.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         10.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:53,2013/08/03T23:26:53,         63.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:26:56,2013/08/03T23:26:56,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:01,2013/08/03T23:27:01,         78.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:04,2013/08/03T23:27:04,         16.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:07,2013/08/03T23:27:07,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:09,2013/08/03T23:27:09,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:12,2013/08/03T23:27:12,          5.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:14,2013/08/03T23:27:14,          3.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:15,2013/08/03T23:27:15,         88.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:22,2013/08/03T23:27:22,        104.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:23,2013/08/03T23:27:23,         17.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:25,2013/08/03T23:27:25,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:27,2013/08/03T23:27:27,         16.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:28,2013/08/03T23:27:28,         70.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:31,2013/08/03T23:28:31,          0.150,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:33,2013/08/03T23:27:33,          4.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:37,2013/08/03T23:27:39,          2.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:38,2013/08/03T23:27:38,         17.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:39,2013/08/03T23:27:39,         86.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:41,2013/08/03T23:27:41,         45.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:42,2013/08/03T23:27:42,         89.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:43,2013/08/03T23:27:43,         60.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:43,2013/08/03T23:27:44,         45.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:45,2013/08/03T23:27:45,         45.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:47,2013/08/03T23:27:47,         70.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:52,2013/08/03T23:27:52,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:53,2013/08/03T23:27:53,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:56,2013/08/03T23:27:56,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:27:57,2013/08/03T23:27:57,         80.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:02,2013/08/03T23:28:02,         60.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:03,2013/08/03T23:28:03,         41.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:06,2013/08/03T23:28:06,         17.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:07,2013/08/03T23:28:07,          6.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:08,2013/08/03T23:28:08,         57.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:09,2013/08/03T23:28:09,          8.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:12,2013/08/03T23:28:12,         23.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:12,2013/08/03T23:28:13,         45.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:13,2013/08/03T23:28:13,         49.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:14,2013/08/03T23:28:14,         90.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:15,2013/08/03T23:28:15,          7.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:17,2013/08/03T23:28:17,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:20,2013/08/03T23:28:20,         41.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:26,2013/08/03T23:28:26,         43.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:29,2013/08/03T23:28:29,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:31,2013/08/03T23:28:31,        100.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:32,2013/08/03T23:28:32,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:33,2013/08/03T23:28:33,          3.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:34,2013/08/03T23:28:34,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:34,2013/08/03T23:28:35,         15.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:35,2013/08/03T23:28:35,          3.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:37,2013/08/03T23:28:37,         43.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:39,2013/08/03T23:28:39,         46.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:41,2013/08/03T23:28:41,         51.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:45,2013/08/03T23:28:45,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:49,2013/08/03T23:28:49,         41.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:51,2013/08/03T23:28:51,         44.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:51,2013/08/03T23:28:55,          1.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:55,2013/08/03T23:28:55,         45.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:58,2013/08/03T23:28:59,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:28:59,2013/08/03T23:28:59,         42.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:29:00,2013/08/03T23:29:00,         41.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:29:01,2013/08/03T23:29:01,         68.000,
                               10.5.7.2,                              10.5.11.2,2013/08/03T23:29:03,2013/08/03T23:29:03,         43.000,
