                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:40,2013/08/03T23:26:40,          1.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:43,2013/08/03T23:26:43,         43.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:46,2013/08/03T23:26:46,         83.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:47,2013/08/03T23:26:47,         43.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:48,2013/08/03T23:26:48,          3.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:52,2013/08/03T23:26:52,         86.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:53,2013/08/03T23:26:53,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:26:58,2013/08/03T23:26:58,         26.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:00,2013/08/03T23:27:00,         50.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:03,2013/08/03T23:27:03,          5.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:04,2013/08/03T23:27:05,          5.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:07,2013/08/03T23:27:07,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:08,2013/08/03T23:27:08,         78.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:13,2013/08/03T23:27:13,         50.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:16,2013/08/03T23:27:16,         43.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:18,2013/08/03T23:27:18,          3.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:26,2013/08/03T23:27:26,         51.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:27,2013/08/03T23:27:27,         27.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:27,2013/08/03T23:27:28,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:28,2013/08/03T23:27:28,         35.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:31,2013/08/03T23:27:31,         81.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:32,2013/08/03T23:27:32,         42.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:32,2013/08/03T23:27:38,          0.667,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:33,2013/08/03T23:27:33,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:35,2013/08/03T23:27:35,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:37,2013/08/03T23:27:37,         52.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:38,2013/08/03T23:27:39,         15.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:41,2013/08/03T23:27:41,         51.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:43,2013/08/03T23:27:43,         44.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:44,2013/08/03T23:27:44,         47.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:47,2013/08/03T23:27:48,         16.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:48,2013/08/03T23:27:48,          1.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:52,2013/08/03T23:27:52,         31.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:53,2013/08/03T23:27:53,         34.000,
                               10.5.7.2,                              10.5.12.2,2013/08/03T23:27:55,2013/08/03T23:27:55,         26.000,
