                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:40,2013/08/03T23:26:40,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:42,2013/08/03T23:26:43,         16.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:43,2013/08/03T23:26:43,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:44,2013/08/03T23:26:44,          4.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:45,2013/08/03T23:26:45,         45.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:49,2013/08/03T23:26:50,         16.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:50,2013/08/03T23:26:50,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         51.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:26:57,2013/08/03T23:26:57,         43.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:01,2013/08/03T23:27:01,         47.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:02,2013/08/03T23:27:02,         98.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:06,2013/08/03T23:27:07,         15.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:07,2013/08/03T23:27:07,         45.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:10,2013/08/03T23:27:10,         50.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:11,2013/08/03T23:27:11,         45.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:13,2013/08/03T23:27:13,         17.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:13,2013/08/03T23:27:14,         44.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:15,2013/08/03T23:27:15,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:15,2013/08/03T23:27:16,         34.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:16,2013/08/03T23:27:16,         36.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:16,2013/08/03T23:27:17,         14.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:17,2013/08/03T23:27:17,         36.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:22,2013/08/03T23:27:22,          3.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:23,2013/08/03T23:27:23,         33.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:24,2013/08/03T23:27:24,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:26,2013/08/03T23:27:26,          3.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:28,2013/08/03T23:27:28,          3.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:28,2013/08/03T23:27:29,         14.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:29,2013/08/03T23:27:29,          1.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:34,2013/08/03T23:27:34,         31.000,
                               10.5.7.2,                              10.5.13.2,2013/08/03T23:27:36,2013/08/03T23:27:37,         54.000,
