                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:40,2013/08/03T23:26:40,          1.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:40,2013/08/03T23:26:41,         14.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:44,2013/08/03T23:26:44,         45.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:44,2013/08/03T23:26:45,         43.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:47,2013/08/03T23:26:47,         17.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:49,2013/08/03T23:26:49,         47.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:50,2013/08/03T23:26:50,         41.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:51,2013/08/03T23:26:51,         43.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:52,2013/08/03T23:26:52,         42.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:57,2013/08/03T23:26:58,         15.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:58,2013/08/03T23:26:58,          1.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:26:59,2013/08/03T23:26:59,         42.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:00,2013/08/03T23:27:00,         42.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:02,2013/08/03T23:27:02,         41.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:03,2013/08/03T23:27:03,         11.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:03,2013/08/03T23:27:08,          1.600,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:04,2013/08/03T23:27:04,         43.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:06,2013/08/03T23:27:06,         43.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:08,2013/08/03T23:27:08,         47.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:09,2013/08/03T23:27:09,         40.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:09,2013/08/03T23:27:10,         16.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:10,2013/08/03T23:27:10,          1.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:11,2013/08/03T23:27:11,         45.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:12,2013/08/03T23:27:12,         43.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:13,2013/08/03T23:27:13,         41.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:17,2013/08/03T23:27:17,         42.000,
                               10.5.7.2,                               10.5.8.2,2013/08/03T23:27:18,2013/08/03T23:27:18,          3.000,
