                              10.5.14.2,                              10.5.15.2,2013/08/03T17:30:22,2013/08/03T17:30:23,          3.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:30:47,2013/08/03T17:30:47,          3.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:30:50,2013/08/03T17:30:50,          3.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:30:59,2013/08/03T17:30:59,          3.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:16,2013/08/03T17:31:16,          9.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:39,2013/08/03T17:31:39,          8.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:50,2013/08/03T17:31:50,          6.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:53,2013/08/03T17:31:53,          7.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:55,2013/08/03T17:31:55,          6.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:31:58,2013/08/03T17:31:58,          7.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:05,2013/08/03T17:32:05,          7.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         86.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         24.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:24,2013/08/03T17:32:24,        102.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         58.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         33.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:26,2013/08/03T17:32:27,         10.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         36.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         20.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         44.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:29,2013/08/03T17:32:30,         11.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         22.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         53.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         22.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         52.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:34,2013/08/03T17:32:34,          1.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         19.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:36,2013/08/03T17:32:36,         39.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:36,2013/08/03T17:32:37,          9.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:37,2013/08/03T17:32:37,         48.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:38,2013/08/03T17:32:38,         11.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:32:57,2013/08/03T17:32:57,          6.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:11,2013/08/03T17:33:16,        704.600,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:18,2013/08/03T17:33:18,          6.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:25,2013/08/03T17:33:28,          2.333,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:28,2013/08/03T17:33:28,         19.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:31,2013/08/03T17:34:31,          0.200,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:42,2013/08/03T17:33:42,         12.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:42,2013/08/03T17:33:48,          5.500,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:52,2013/08/03T17:33:52,          6.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:56,2013/08/03T17:34:01,        678.800,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:33:57,2013/08/03T17:33:57,          9.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:18,2013/08/03T17:34:18,          1.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:31,2013/08/03T17:34:31,          1.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:33,2013/08/03T17:34:33,         38.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:36,2013/08/03T17:34:36,          7.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:41,2013/08/03T17:34:41,         13.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:49,2013/08/03T17:34:49,          9.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:34:51,2013/08/03T17:34:51,         11.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:35:05,2013/08/03T17:35:05,          1.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T17:35:08,2013/08/03T17:35:10,          3.500,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:39,2013/08/03T21:36:39,          3.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:40,2013/08/03T21:36:40,         14.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:41,2013/08/03T21:36:41,          9.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:42,2013/08/03T21:36:42,          8.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:43,2013/08/03T21:36:43,          2.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:45,2013/08/03T21:36:45,          5.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:46,2013/08/03T21:36:46,         13.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:47,2013/08/03T21:36:47,         16.000,
                              10.5.14.2,                              10.5.15.2,2013/08/03T21:36:48,2013/08/03T21:36:48,         68.000,
