                              10.5.14.2,                              10.5.18.2,2013/08/03T17:30:18,2013/08/03T17:30:18,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:30:45,2013/08/03T17:30:45,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:30:48,2013/08/03T17:30:48,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:30:55,2013/08/03T17:30:55,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:13,2013/08/03T17:31:13,         15.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:14,2013/08/03T17:31:15,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:23,2013/08/03T17:31:24,          5.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:25,2013/08/03T17:31:30,        568.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:30,2013/08/03T17:31:30,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:37,2013/08/03T17:31:37,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:50,2013/08/03T17:31:50,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:31:51,2013/08/03T17:31:51,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:04,2013/08/03T17:32:05,         14.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:21,2013/08/03T17:32:21,         16.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         54.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         60.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         46.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         23.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         47.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         49.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         22.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         11.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         57.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         58.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:32,2013/08/03T17:32:39,          5.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         41.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         56.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         22.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:36,2013/08/03T17:32:36,         22.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:43,2013/08/03T17:32:43,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:44,2013/08/03T17:32:44,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:32:57,2013/08/03T17:32:58,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:01,2013/08/03T17:33:01,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:02,2013/08/03T17:33:03,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:03,2013/08/03T17:33:03,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:07,2013/08/03T17:33:07,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:13,2013/08/03T17:33:13,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:20,2013/08/03T17:33:20,         13.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:32,2013/08/03T17:33:32,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:33,2013/08/03T17:33:34,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:43,2013/08/03T17:33:43,          6.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:33:51,2013/08/03T17:34:51,          0.200,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:05,2013/08/03T17:34:05,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:10,2013/08/03T17:34:10,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:21,2013/08/03T17:34:21,          6.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:22,2013/08/03T17:34:22,         11.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:46,2013/08/03T17:34:49,          2.333,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:49,2013/08/03T17:34:49,          5.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:51,2013/08/03T17:34:51,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:56,2013/08/03T17:34:56,          9.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:34:57,2013/08/03T17:35:02,        657.800,
                              10.5.14.2,                              10.5.18.2,2013/08/03T17:35:03,2013/08/03T17:35:03,         23.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:39,2013/08/03T21:36:39,          5.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:40,2013/08/03T21:36:40,         14.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:41,2013/08/03T21:36:41,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:42,2013/08/03T21:36:42,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:43,2013/08/03T21:36:43,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:45,2013/08/03T21:36:45,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:46,2013/08/03T21:36:46,         17.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:47,2013/08/03T21:36:47,         25.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:48,2013/08/03T21:36:48,         49.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:49,2013/08/03T21:36:49,         67.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:50,2013/08/03T21:36:50,         90.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:51,2013/08/03T21:36:51,         64.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:53,2013/08/03T21:36:53,         17.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:53,2013/08/03T21:36:54,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:54,2013/08/03T21:36:54,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:55,2013/08/03T21:36:55,         28.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:56,2013/08/03T21:36:56,         15.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:57,2013/08/03T21:36:57,         16.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:36:58,2013/08/03T21:36:58,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:01,2013/08/03T21:37:01,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:02,2013/08/03T21:37:02,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:03,2013/08/03T21:37:04,         78.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:03,2013/08/03T21:37:33,          0.133,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:04,2013/08/03T21:37:04,          9.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:06,2013/08/03T21:37:06,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:07,2013/08/03T21:37:07,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:10,2013/08/03T21:37:10,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:11,2013/08/03T21:37:12,          6.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:12,2013/08/03T21:37:12,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:13,2013/08/03T21:37:13,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:14,2013/08/03T21:37:14,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:15,2013/08/03T21:37:15,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:16,2013/08/03T21:37:16,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:17,2013/08/03T21:37:17,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:24,2013/08/03T21:37:24,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:25,2013/08/03T21:37:25,          6.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:25,2013/08/03T21:37:26,          3.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:25,2013/08/03T21:37:27,          2.500,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:26,2013/08/03T21:37:26,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:27,2013/08/03T21:37:27,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:28,2013/08/03T21:37:28,         22.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:29,2013/08/03T21:37:29,         23.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:30,2013/08/03T21:37:30,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:31,2013/08/03T21:37:31,          2.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:33,2013/08/03T21:37:33,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:33,2013/08/03T21:37:34,         35.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:35,2013/08/03T21:37:35,         18.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:36,2013/08/03T21:37:36,          9.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:37,2013/08/03T21:37:37,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:39,2013/08/03T21:37:39,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:40,2013/08/03T21:37:40,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:41,2013/08/03T21:37:41,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:45,2013/08/03T21:37:45,         18.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:47,2013/08/03T21:37:47,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:50,2013/08/03T21:37:50,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:37:53,2013/08/03T21:37:53,         22.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:02,2013/08/03T21:38:02,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:04,2013/08/03T21:38:04,         20.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:06,2013/08/03T21:38:06,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:08,2013/08/03T21:38:15,          3.286,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:09,2013/08/03T21:38:09,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:11,2013/08/03T21:38:11,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:12,2013/08/03T21:38:12,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:12,2013/08/03T21:38:13,         13.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:18,2013/08/03T21:38:18,         16.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:20,2013/08/03T21:38:20,          9.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:21,2013/08/03T21:38:21,         18.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:22,2013/08/03T21:38:22,         26.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:23,2013/08/03T21:38:23,         14.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:24,2013/08/03T21:38:24,          5.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:25,2013/08/03T21:38:25,         18.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:29,2013/08/03T21:38:29,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:30,2013/08/03T21:38:30,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:32,2013/08/03T21:38:32,         14.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:32,2013/08/03T21:38:33,          6.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:33,2013/08/03T21:38:33,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:34,2013/08/03T21:38:34,         28.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:34,2013/08/03T21:38:39,          1.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:35,2013/08/03T21:38:35,          9.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:37,2013/08/03T21:38:37,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:38,2013/08/03T21:38:38,          8.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:40,2013/08/03T21:38:40,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:41,2013/08/03T21:38:41,         27.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:42,2013/08/03T21:38:42,         40.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:43,2013/08/03T21:38:43,          7.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:44,2013/08/03T21:38:44,         10.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:45,2013/08/03T21:38:45,         20.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:46,2013/08/03T21:38:46,          4.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:48,2013/08/03T21:38:48,         50.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:49,2013/08/03T21:38:49,         12.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:50,2013/08/03T21:38:50,         14.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:51,2013/08/03T21:38:51,         20.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:51,2013/08/03T21:38:52,         15.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:52,2013/08/03T21:38:52,         45.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:53,2013/08/03T21:38:53,         70.000,
                              10.5.14.2,                              10.5.18.2,2013/08/03T21:38:54,2013/08/03T21:38:54,         10.000,
