                              10.5.14.2,                              10.5.20.2,2013/08/03T17:30:20,2013/08/03T17:30:20,         13.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:02,2013/08/03T17:31:04,          3.500,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:16,2013/08/03T17:31:16,         12.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:23,2013/08/03T17:31:23,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:33,2013/08/03T17:31:33,          5.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:37,2013/08/03T17:31:37,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:31:42,2013/08/03T17:31:42,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:04,2013/08/03T17:32:04,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:07,2013/08/03T17:32:07,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:09,2013/08/03T17:32:09,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:16,2013/08/03T17:32:16,          4.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:19,2013/08/03T17:32:25,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         91.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         49.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         55.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         35.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:25,2013/08/03T17:32:26,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         36.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         23.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         67.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:28,2013/08/03T17:32:29,         10.500,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         58.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:29,2013/08/03T17:32:30,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         25.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         53.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         33.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:32,2013/08/03T17:32:33,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         47.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         37.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:34,2013/08/03T17:32:35,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         12.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:35,2013/08/03T17:32:36,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:36,2013/08/03T17:32:36,         23.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:36,2013/08/03T17:32:37,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:37,2013/08/03T17:32:38,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:38,2013/08/03T17:32:38,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:32:51,2013/08/03T17:33:51,          0.200,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:11,2013/08/03T17:33:11,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:33,2013/08/03T17:33:33,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:33,2013/08/03T17:34:03,          0.233,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:42,2013/08/03T17:33:42,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:48,2013/08/03T17:33:50,          3.500,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:33:51,2013/08/03T17:33:51,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:03,2013/08/03T17:34:03,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:03,2013/08/03T17:34:33,          0.400,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:11,2013/08/03T17:34:11,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:26,2013/08/03T17:34:32,        486.833,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:35,2013/08/03T17:34:35,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:39,2013/08/03T17:34:39,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:42,2013/08/03T17:34:42,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:34:43,2013/08/03T17:34:43,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:35:07,2013/08/03T17:35:07,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:35:08,2013/08/03T17:35:08,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T17:35:11,2013/08/03T17:35:11,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:39,2013/08/03T21:36:39,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:40,2013/08/03T21:36:40,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:41,2013/08/03T21:36:41,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:42,2013/08/03T21:36:42,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:43,2013/08/03T21:36:43,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:46,2013/08/03T21:36:46,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:47,2013/08/03T21:36:47,         23.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:48,2013/08/03T21:36:48,         61.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:49,2013/08/03T21:36:49,         28.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:50,2013/08/03T21:36:50,         30.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:51,2013/08/03T21:36:51,         59.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:51,2013/08/03T21:36:52,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:52,2013/08/03T21:36:52,         36.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:53,2013/08/03T21:36:53,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:55,2013/08/03T21:36:55,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:56,2013/08/03T21:36:56,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:57,2013/08/03T21:36:57,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:36:58,2013/08/03T21:36:58,         27.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:01,2013/08/03T21:37:01,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:02,2013/08/03T21:37:02,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:04,2013/08/03T21:37:04,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:04,2013/08/03T21:37:07,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:05,2013/08/03T21:37:05,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:06,2013/08/03T21:37:06,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:07,2013/08/03T21:37:07,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:08,2013/08/03T21:37:08,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:09,2013/08/03T21:37:09,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:10,2013/08/03T21:37:10,         12.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:11,2013/08/03T21:37:11,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:11,2013/08/03T21:37:12,         13.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:12,2013/08/03T21:37:12,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:13,2013/08/03T21:37:13,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:14,2013/08/03T21:37:14,         28.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:15,2013/08/03T21:37:15,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:16,2013/08/03T21:37:16,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:17,2013/08/03T21:37:17,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:24,2013/08/03T21:37:24,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:25,2013/08/03T21:37:25,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:26,2013/08/03T21:37:26,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:28,2013/08/03T21:37:28,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:30,2013/08/03T21:37:30,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:31,2013/08/03T21:37:31,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:32,2013/08/03T21:37:32,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:33,2013/08/03T21:37:33,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:35,2013/08/03T21:37:35,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:36,2013/08/03T21:37:36,          2.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:38,2013/08/03T21:37:38,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:39,2013/08/03T21:37:39,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:40,2013/08/03T21:37:40,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:43,2013/08/03T21:37:44,          5.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:46,2013/08/03T21:37:46,         18.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:51,2013/08/03T21:37:52,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:58,2013/08/03T21:37:58,          5.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:37:59,2013/08/03T21:38:00,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:01,2013/08/03T21:38:01,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:03,2013/08/03T21:38:03,         15.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:05,2013/08/03T21:38:06,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:06,2013/08/03T21:38:06,          5.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:11,2013/08/03T21:38:11,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:12,2013/08/03T21:38:12,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:14,2013/08/03T21:38:14,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:17,2013/08/03T21:38:17,         12.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:18,2013/08/03T21:38:18,          7.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:25,2013/08/03T21:38:25,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:27,2013/08/03T21:38:27,         27.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:31,2013/08/03T21:38:31,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:31,2013/08/03T21:38:32,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:32,2013/08/03T21:38:32,         15.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:34,2013/08/03T21:38:34,         26.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:35,2013/08/03T21:38:35,         16.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:37,2013/08/03T21:38:37,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:39,2013/08/03T21:38:39,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:40,2013/08/03T21:38:40,         31.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:41,2013/08/03T21:38:41,         17.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:42,2013/08/03T21:38:42,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:44,2013/08/03T21:38:44,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:45,2013/08/03T21:38:45,         59.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:47,2013/08/03T21:38:47,          6.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:48,2013/08/03T21:38:48,         16.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:49,2013/08/03T21:38:49,         21.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:50,2013/08/03T21:38:50,         14.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:51,2013/08/03T21:38:51,         22.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:51,2013/08/03T21:38:56,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:52,2013/08/03T21:38:52,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:53,2013/08/03T21:38:53,         49.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:54,2013/08/03T21:38:54,         32.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:55,2013/08/03T21:38:55,         50.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:55,2013/08/03T21:38:56,         17.500,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:56,2013/08/03T21:38:56,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:57,2013/08/03T21:38:57,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:58,2013/08/03T21:38:58,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:38:59,2013/08/03T21:38:59,         36.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:00,2013/08/03T21:39:00,         58.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:01,2013/08/03T21:39:01,         27.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:02,2013/08/03T21:39:02,         45.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:04,2013/08/03T21:39:04,         15.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:06,2013/08/03T21:39:06,         21.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:07,2013/08/03T21:39:07,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:08,2013/08/03T21:39:08,         18.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:09,2013/08/03T21:39:09,         17.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:10,2013/08/03T21:39:10,         15.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:11,2013/08/03T21:39:11,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:12,2013/08/03T21:39:12,         12.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:13,2013/08/03T21:39:13,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:14,2013/08/03T21:39:14,         13.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:15,2013/08/03T21:39:15,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:16,2013/08/03T21:39:16,          4.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:17,2013/08/03T21:39:17,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:18,2013/08/03T21:39:18,         32.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:22,2013/08/03T21:39:22,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:23,2013/08/03T21:39:23,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:24,2013/08/03T21:39:24,         30.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:25,2013/08/03T21:39:25,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:26,2013/08/03T21:39:26,          8.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:27,2013/08/03T21:39:27,         28.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:28,2013/08/03T21:39:28,         19.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:30,2013/08/03T21:39:30,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:31,2013/08/03T21:39:31,         38.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:32,2013/08/03T21:39:32,         37.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:33,2013/08/03T21:39:33,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:34,2013/08/03T21:39:34,          9.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:35,2013/08/03T21:39:35,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:36,2013/08/03T21:39:36,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:37,2013/08/03T21:39:37,         17.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:38,2013/08/03T21:39:38,         30.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:39,2013/08/03T21:39:39,         56.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:42,2013/08/03T21:39:42,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:44,2013/08/03T21:39:44,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:45,2013/08/03T21:39:46,         19.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:46,2013/08/03T21:39:46,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:47,2013/08/03T21:39:47,         33.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:48,2013/08/03T21:39:48,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:48,2013/08/03T21:40:48,          0.200,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:49,2013/08/03T21:39:49,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:50,2013/08/03T21:39:50,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:51,2013/08/03T21:39:51,         40.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:53,2013/08/03T21:39:53,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:55,2013/08/03T21:39:55,         68.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:56,2013/08/03T21:39:56,         44.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:58,2013/08/03T21:39:58,         29.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:39:59,2013/08/03T21:39:59,         15.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:00,2013/08/03T21:40:00,         16.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:01,2013/08/03T21:40:01,         21.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:02,2013/08/03T21:40:02,         17.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:03,2013/08/03T21:40:03,         10.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:04,2013/08/03T21:40:04,         13.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:04,2013/08/03T21:40:05,          1.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:05,2013/08/03T21:40:05,         11.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:06,2013/08/03T21:40:06,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:07,2013/08/03T21:40:07,         17.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:08,2013/08/03T21:40:08,         24.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:09,2013/08/03T21:40:09,         28.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:10,2013/08/03T21:40:10,         31.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:11,2013/08/03T21:40:11,         20.000,
                              10.5.14.2,                              10.5.20.2,2013/08/03T21:40:12,2013/08/03T21:40:12,         16.000,
