                              10.5.14.2,                               10.5.2.2,2013/08/03T17:30:18,2013/08/03T17:30:18,          4.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:30:45,2013/08/03T17:30:45,          1.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:30:53,2013/08/03T17:30:53,          3.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:03,2013/08/03T17:31:03,          3.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:32,2013/08/03T17:31:32,         12.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:33,2013/08/03T17:31:33,         27.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:34,2013/08/03T17:31:34,          6.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:38,2013/08/03T17:31:38,         13.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:41,2013/08/03T17:31:41,         11.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:47,2013/08/03T17:31:47,         11.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:57,2013/08/03T17:31:58,          4.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:31:58,2013/08/03T17:31:58,          1.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:12,2013/08/03T17:32:19,          5.286,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         33.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         69.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:23,2013/08/03T17:32:24,         10.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         55.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         81.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:25,2013/08/03T17:32:26,         10.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:25,2013/08/03T17:32:30,        728.600,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         46.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         33.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         55.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         33.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:29,2013/08/03T17:32:30,         10.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         43.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         20.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         33.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         34.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:33,2013/08/03T17:32:34,         10.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         34.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         11.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:35,2013/08/03T17:32:36,         10.000,
                              10.5.14.2,                               10.5.2.2,2013/08/03T17:32:36,2013/08/03T17:32:36,          6.000,
