                              10.5.14.2,                              10.5.17.2,2013/08/03T17:30:19,2013/08/03T17:30:19,          3.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:30:21,2013/08/03T17:30:21,          3.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:30:23,2013/08/03T17:30:23,          3.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:30:40,2013/08/03T17:30:40,        418.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:02,2013/08/03T17:31:03,          8.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:07,2013/08/03T17:31:48,          0.366,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:10,2013/08/03T17:31:10,          8.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:20,2013/08/03T17:31:21,          5.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:35,2013/08/03T17:31:35,          8.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:31:55,2013/08/03T17:32:00,        533.400,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:08,2013/08/03T17:32:08,          3.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:10,2013/08/03T17:32:10,          9.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:12,2013/08/03T17:32:14,          3.500,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         70.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         70.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         94.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         35.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         23.000,
                              10.5.14.2,                              10.5.17.2,2013/08/03T17:32:26,2013/08/03T17:32:27,         10.000,
