                              10.5.14.2,                               10.5.4.2,2013/08/03T17:30:22,2013/08/03T17:30:22,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:30:26,2013/08/03T17:30:26,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:30:46,2013/08/03T17:30:46,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:30:53,2013/08/03T17:30:53,          6.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:30:56,2013/08/03T17:31:03,          5.143,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:02,2013/08/03T17:31:02,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:03,2013/08/03T17:31:33,          0.233,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:04,2013/08/03T17:31:05,          7.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:04,2013/08/03T17:31:06,          3.500,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:05,2013/08/03T17:31:05,          1.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:06,2013/08/03T17:31:06,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:07,2013/08/03T17:31:07,          3.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:09,2013/08/03T17:31:09,         11.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:12,2013/08/03T17:31:12,         11.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:23,2013/08/03T17:31:24,          4.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:24,2013/08/03T17:31:24,          2.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:25,2013/08/03T17:31:25,          7.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:49,2013/08/03T17:31:49,         14.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:31:54,2013/08/03T17:31:54,          6.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:32:03,2013/08/03T17:32:03,          6.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:32:05,2013/08/03T17:32:05,          8.000,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:32:08,2013/08/03T17:32:10,          3.500,
                              10.5.14.2,                               10.5.4.2,2013/08/03T17:32:10,2013/08/03T17:32:12,          3.500,
