                              10.5.14.2,                              10.5.11.2,2013/08/03T17:30:45,2013/08/03T17:30:50,          6.200,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:30:52,2013/08/03T17:30:52,         16.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:30:57,2013/08/03T17:30:57,          3.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:30:59,2013/08/03T17:30:59,          3.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:17,2013/08/03T17:31:17,          9.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:18,2013/08/03T17:31:18,          1.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:31,2013/08/03T17:31:31,          8.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:33,2013/08/03T17:32:04,          0.484,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:37,2013/08/03T17:31:37,          7.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:45,2013/08/03T17:31:46,          9.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:31:57,2013/08/03T17:31:57,         12.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:14,2013/08/03T17:32:14,          3.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:14,2013/08/03T17:32:16,          3.500,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:22,2013/08/03T17:32:22,        100.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         92.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         69.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         68.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:25,2013/08/03T17:32:32,          5.286,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         43.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         47.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         46.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         11.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:29,2013/08/03T17:32:30,         11.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         23.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         49.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         45.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         57.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:33,2013/08/03T17:32:34,          3.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         22.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         34.000,
                              10.5.14.2,                              10.5.11.2,2013/08/03T17:32:36,2013/08/03T17:32:36,         41.000,
