                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:16,2013/08/03T17:30:16,         13.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:23,2013/08/03T17:30:23,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:27,2013/08/03T17:30:27,          4.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:40,2013/08/03T17:30:40,          3.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:46,2013/08/03T17:30:46,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:30:53,2013/08/03T17:31:03,          0.100,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:03,2013/08/03T17:31:10,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:05,2013/08/03T17:31:05,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:08,2013/08/03T17:31:08,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:17,2013/08/03T17:31:17,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:19,2013/08/03T17:31:19,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:30,2013/08/03T17:31:30,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:37,2013/08/03T17:31:37,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:48,2013/08/03T17:31:49,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:52,2013/08/03T17:31:52,          6.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:31:57,2013/08/03T17:31:57,          6.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:21,2013/08/03T17:32:22,          4.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         25.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         89.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         77.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:25,2013/08/03T17:32:25,         34.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:25,2013/08/03T17:32:26,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         13.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         22.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         33.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         33.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         55.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:31,2013/08/03T17:32:32,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         23.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         70.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:34,2013/08/03T17:32:35,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         23.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:35,2013/08/03T17:32:36,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:36,2013/08/03T17:32:36,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:36,2013/08/03T17:32:38,          4.500,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:37,2013/08/03T17:32:37,         20.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:37,2013/08/03T17:32:38,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:38,2013/08/03T17:32:38,          2.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:41,2013/08/03T17:32:41,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:42,2013/08/03T17:32:42,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:45,2013/08/03T17:32:47,          3.500,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:47,2013/08/03T17:32:47,          3.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:32:51,2013/08/03T17:32:52,          4.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:02,2013/08/03T17:33:02,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:05,2013/08/03T17:33:05,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:09,2013/08/03T17:33:09,         12.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:14,2013/08/03T17:33:14,         13.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:20,2013/08/03T17:33:20,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:27,2013/08/03T17:33:27,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:32,2013/08/03T17:33:32,          6.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:33,2013/08/03T17:33:33,         34.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:38,2013/08/03T17:33:38,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:39,2013/08/03T17:33:39,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:33:55,2013/08/03T17:33:55,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:00,2013/08/03T17:34:00,         15.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:07,2013/08/03T17:34:07,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:08,2013/08/03T17:34:08,         12.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:17,2013/08/03T17:34:17,         12.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:25,2013/08/03T17:34:25,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:30,2013/08/03T17:34:30,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:50,2013/08/03T17:34:50,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:34:57,2013/08/03T17:34:57,          4.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T17:35:03,2013/08/03T17:35:03,          6.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:39,2013/08/03T21:36:39,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:40,2013/08/03T21:36:40,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:41,2013/08/03T21:36:41,         11.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:42,2013/08/03T21:36:42,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:45,2013/08/03T21:36:45,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:46,2013/08/03T21:36:46,         15.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:47,2013/08/03T21:36:47,         14.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:48,2013/08/03T21:36:48,         70.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:49,2013/08/03T21:36:49,         72.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:49,2013/08/03T21:36:50,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:50,2013/08/03T21:36:50,         32.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:51,2013/08/03T21:36:51,         60.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:52,2013/08/03T21:36:52,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:53,2013/08/03T21:36:53,         26.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:54,2013/08/03T21:36:54,         13.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:55,2013/08/03T21:36:55,         26.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:56,2013/08/03T21:36:56,         18.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:57,2013/08/03T21:36:57,         17.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:36:59,2013/08/03T21:36:59,         14.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:00,2013/08/03T21:37:00,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:01,2013/08/03T21:37:01,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:02,2013/08/03T21:37:02,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:03,2013/08/03T21:37:03,         17.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:05,2013/08/03T21:37:05,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:06,2013/08/03T21:37:06,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:07,2013/08/03T21:37:07,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:08,2013/08/03T21:37:08,         18.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:09,2013/08/03T21:37:09,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:10,2013/08/03T21:37:10,          2.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:11,2013/08/03T21:37:11,          8.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:12,2013/08/03T21:37:12,         18.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:13,2013/08/03T21:37:13,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:15,2013/08/03T21:37:15,          2.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:16,2013/08/03T21:37:16,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:17,2013/08/03T21:37:17,          6.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:24,2013/08/03T21:37:24,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:25,2013/08/03T21:37:25,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:26,2013/08/03T21:37:26,          7.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:27,2013/08/03T21:37:27,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:28,2013/08/03T21:37:28,         14.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:29,2013/08/03T21:37:29,         46.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:30,2013/08/03T21:37:30,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:31,2013/08/03T21:37:31,          3.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:34,2013/08/03T21:37:34,         34.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:35,2013/08/03T21:37:35,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:36,2013/08/03T21:37:36,          4.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:37,2013/08/03T21:37:37,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:38,2013/08/03T21:37:38,          3.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:39,2013/08/03T21:37:39,         22.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:40,2013/08/03T21:37:40,         22.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:42,2013/08/03T21:37:42,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:43,2013/08/03T21:37:43,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:51,2013/08/03T21:37:51,         17.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:54,2013/08/03T21:37:54,         10.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:56,2013/08/03T21:37:56,          5.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:57,2013/08/03T21:37:57,         37.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:37:58,2013/08/03T21:37:58,         15.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:00,2013/08/03T21:38:00,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:01,2013/08/03T21:38:01,         38.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:01,2013/08/03T21:38:02,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:02,2013/08/03T21:38:02,          1.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:04,2013/08/03T21:38:04,         23.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:06,2013/08/03T21:38:06,         22.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:08,2013/08/03T21:38:08,          9.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:11,2013/08/03T21:38:11,         12.000,
                              10.5.14.2,                              10.5.13.2,2013/08/03T21:38:13,2013/08/03T21:38:13,          9.000,
