                              10.5.14.2,                               10.5.8.2,2013/08/03T17:30:18,2013/08/03T17:30:18,          3.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:30:46,2013/08/03T17:30:57,          0.727,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:00,2013/08/03T17:31:02,          3.500,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:09,2013/08/03T17:31:09,          4.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:18,2013/08/03T17:31:19,          4.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:19,2013/08/03T17:31:19,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:27,2013/08/03T17:31:27,          9.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:32,2013/08/03T17:31:32,          5.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:40,2013/08/03T17:31:40,          8.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:47,2013/08/03T17:31:47,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:31:59,2013/08/03T17:31:59,         12.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:03,2013/08/03T17:32:03,         37.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:22,2013/08/03T17:32:22,         21.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:23,2013/08/03T17:32:23,         60.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:24,2013/08/03T17:32:24,         44.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:25,2013/08/03T17:32:25,        159.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:26,2013/08/03T17:32:26,         15.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:27,2013/08/03T17:32:27,         23.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:27,2013/08/03T17:32:28,         10.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:28,2013/08/03T17:32:28,         34.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:28,2013/08/03T17:32:29,         10.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:29,2013/08/03T17:32:29,         23.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:30,2013/08/03T17:32:30,         45.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:31,2013/08/03T17:32:31,         37.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:32,2013/08/03T17:32:32,         43.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:33,2013/08/03T17:32:33,         34.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:34,2013/08/03T17:32:34,         23.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:35,2013/08/03T17:32:35,         25.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:36,2013/08/03T17:32:36,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:37,2013/08/03T17:32:37,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:41,2013/08/03T17:32:41,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:46,2013/08/03T17:32:47,          4.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:48,2013/08/03T17:32:48,         12.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:32:59,2013/08/03T17:32:59,         14.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:01,2013/08/03T17:33:01,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:10,2013/08/03T17:33:10,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:23,2013/08/03T17:33:23,          8.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:27,2013/08/03T17:34:19,          0.269,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:40,2013/08/03T17:33:40,          7.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:41,2013/08/03T17:33:41,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:48,2013/08/03T17:33:48,          8.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:33:51,2013/08/03T17:33:51,          7.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:02,2013/08/03T17:34:02,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:21,2013/08/03T17:34:21,         12.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:22,2013/08/03T17:34:33,          0.727,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:23,2013/08/03T17:34:25,          6.500,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:26,2013/08/03T17:34:26,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:31,2013/08/03T17:34:31,          8.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:35,2013/08/03T17:34:35,         13.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:34:38,2013/08/03T17:34:38,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T17:35:12,2013/08/03T17:35:12,         12.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:39,2013/08/03T21:36:39,          4.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:40,2013/08/03T21:36:40,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:41,2013/08/03T21:36:41,          9.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:42,2013/08/03T21:36:42,         12.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:44,2013/08/03T21:36:44,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:45,2013/08/03T21:36:45,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:46,2013/08/03T21:36:46,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:47,2013/08/03T21:36:47,         14.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:48,2013/08/03T21:36:48,         39.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:49,2013/08/03T21:36:49,         60.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:50,2013/08/03T21:36:50,         38.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:51,2013/08/03T21:36:51,         40.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:52,2013/08/03T21:36:52,         30.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:52,2013/08/03T21:36:53,          9.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:53,2013/08/03T21:36:53,         22.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:54,2013/08/03T21:36:54,         16.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:56,2013/08/03T21:36:56,          6.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:36:57,2013/08/03T21:36:57,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:00,2013/08/03T21:37:00,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:01,2013/08/03T21:37:01,          2.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:02,2013/08/03T21:37:02,         10.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:04,2013/08/03T21:37:04,          8.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:05,2013/08/03T21:37:05,          1.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:05,2013/08/03T21:37:06,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:06,2013/08/03T21:37:06,         11.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:07,2013/08/03T21:37:07,         15.000,
                              10.5.14.2,                               10.5.8.2,2013/08/03T21:37:08,2013/08/03T21:37:08,          9.000,
