                              10.5.10.2,                              10.5.19.2,2013/08/04T00:26:41,2013/08/04T00:26:41,         42.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:26:42,2013/08/04T00:26:42,          4.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:26:47,2013/08/04T00:26:47,         44.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:26:51,2013/08/04T00:26:51,         50.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:26:58,2013/08/04T00:26:58,         14.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:03,2013/08/04T00:27:03,         51.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:03,2013/08/04T00:27:06,          0.667,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:08,2013/08/04T00:27:08,         16.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:13,2013/08/04T00:27:13,         41.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:14,2013/08/04T00:27:14,         51.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:15,2013/08/04T00:27:15,         44.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         14.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:19,2013/08/04T00:27:19,          1.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:20,2013/08/04T00:27:20,         41.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:23,2013/08/04T00:27:23,         52.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:23,2013/08/04T00:27:30,          4.429,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:24,2013/08/04T00:27:24,         42.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:25,2013/08/04T00:27:25,         43.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:29,2013/08/04T00:27:29,         42.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:31,2013/08/04T00:27:31,         85.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:33,2013/08/04T00:27:34,         57.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:36,2013/08/04T00:27:36,         44.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:39,2013/08/04T00:27:40,         42.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:40,2013/08/04T00:27:40,         59.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:41,2013/08/04T00:27:41,         41.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:43,2013/08/04T00:27:43,          1.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:46,2013/08/04T00:27:46,         44.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         41.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:52,2013/08/04T00:27:52,          8.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:27:56,2013/08/04T00:27:56,         43.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T00:28:03,2013/08/04T00:28:03,         27.000,
