                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:42,2013/08/04T00:26:43,         13.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:43,2013/08/04T00:26:43,          1.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:45,2013/08/04T00:26:45,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:45,2013/08/04T00:26:46,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:47,2013/08/04T00:26:47,          9.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:52,2013/08/04T00:26:52,         53.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:53,2013/08/04T00:26:53,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:54,2013/08/04T00:26:54,          8.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:26:55,2013/08/04T00:26:55,          9.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:01,2013/08/04T00:27:02,         16.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:03,2013/08/04T00:27:03,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:03,2013/08/04T00:27:05,          2.500,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:03,2013/08/04T00:27:33,          0.400,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:10,2013/08/04T00:27:11,         11.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:11,2013/08/04T00:27:11,          5.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:17,2013/08/04T00:27:17,         54.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         28.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:25,2013/08/04T00:27:25,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:27,2013/08/04T00:27:27,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:33,2013/08/04T00:27:33,         10.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:33,2013/08/04T00:27:38,          1.600,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:34,2013/08/04T00:27:34,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:34,2013/08/04T00:28:18,          0.295,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:38,2013/08/04T00:27:39,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:40,2013/08/04T00:27:40,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:42,2013/08/04T00:27:42,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:42,2013/08/04T00:27:43,         59.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:44,2013/08/04T00:27:44,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         38.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:52,2013/08/04T00:27:52,         84.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:53,2013/08/04T00:27:53,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:27:58,2013/08/04T00:27:58,         12.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:02,2013/08/04T00:28:02,         25.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:03,2013/08/04T00:28:04,          9.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:04,2013/08/04T00:28:04,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:08,2013/08/04T00:28:08,          5.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:12,2013/08/04T00:28:12,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:16,2013/08/04T00:28:16,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:18,2013/08/04T00:28:18,         14.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:20,2013/08/04T00:28:20,         27.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:27,2013/08/04T00:28:27,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:39,2013/08/04T00:28:39,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:41,2013/08/04T00:28:41,         26.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:42,2013/08/04T00:28:42,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:43,2013/08/04T00:28:44,          4.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:44,2013/08/04T00:28:44,          4.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:53,2013/08/04T00:28:53,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:55,2013/08/04T00:28:55,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:28:56,2013/08/04T00:28:56,         51.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:01,2013/08/04T00:29:01,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:03,2013/08/04T00:29:04,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:03,2013/08/04T00:29:33,          1.600,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:03,2013/08/04T00:29:48,          0.289,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:07,2013/08/04T00:29:07,          8.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:13,2013/08/04T00:29:14,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:14,2013/08/04T00:29:14,          7.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:16,2013/08/04T00:29:17,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:16,2013/08/04T00:29:26,          0.900,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:19,2013/08/04T00:29:19,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:24,2013/08/04T00:29:24,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:25,2013/08/04T00:29:25,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:26,2013/08/04T00:29:26,          4.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:27,2013/08/04T00:29:27,          3.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:27,2013/08/04T00:29:28,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:32,2013/08/04T00:29:33,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:34,2013/08/04T00:29:34,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:36,2013/08/04T00:29:37,          4.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:37,2013/08/04T00:29:37,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:40,2013/08/04T00:29:40,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:41,2013/08/04T00:29:41,         47.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:42,2013/08/04T00:29:42,          8.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:46,2013/08/04T00:29:46,         16.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:48,2013/08/04T00:29:49,         10.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:49,2013/08/04T00:29:49,          3.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:52,2013/08/04T00:29:52,         67.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:56,2013/08/04T00:29:56,         82.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:29:57,2013/08/04T00:29:57,         40.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:01,2013/08/04T00:30:01,          9.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:02,2013/08/04T00:30:02,         82.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:03,2013/08/04T00:30:03,          9.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:07,2013/08/04T00:30:07,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:09,2013/08/04T00:30:09,         52.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:10,2013/08/04T00:30:10,          6.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:19,2013/08/04T00:30:19,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:20,2013/08/04T00:30:21,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:21,2013/08/04T00:30:22,         43.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:28,2013/08/04T00:30:28,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:33,2013/08/04T00:30:33,         10.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:35,2013/08/04T00:30:35,          8.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:36,2013/08/04T00:30:37,          5.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:37,2013/08/04T00:30:37,         10.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:39,2013/08/04T00:30:40,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:40,2013/08/04T00:30:40,         13.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:46,2013/08/04T00:30:46,         44.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:46,2013/08/04T00:30:47,         42.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:48,2013/08/04T00:30:48,         54.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:50,2013/08/04T00:30:50,         24.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:30:57,2013/08/04T00:30:57,         41.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:03,2013/08/04T00:31:05,          1.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:10,2013/08/04T00:31:10,         98.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:11,2013/08/04T00:31:12,          7.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:12,2013/08/04T00:31:12,          1.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:16,2013/08/04T00:31:16,          1.000,
                              10.5.10.2,                               10.5.1.2,2013/08/04T00:31:18,2013/08/04T00:31:18,         40.000,
