                              10.5.10.2,                               10.5.6.2,2013/08/04T00:26:46,2013/08/04T00:26:47,         24.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:26:48,2013/08/04T00:26:49,         55.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:26:52,2013/08/04T00:26:53,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:26:54,2013/08/04T00:26:54,          5.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:00,2013/08/04T00:27:01,         46.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:02,2013/08/04T00:27:02,         42.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:04,2013/08/04T00:27:04,         41.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:07,2013/08/04T00:27:07,         38.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:09,2013/08/04T00:27:09,         40.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:13,2013/08/04T00:27:13,         10.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         66.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:20,2013/08/04T00:27:20,         51.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:20,2013/08/04T00:27:21,         13.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:22,2013/08/04T00:27:22,         13.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:26,2013/08/04T00:27:26,         42.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:33,2013/08/04T00:27:35,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:34,2013/08/04T00:27:34,         43.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:36,2013/08/04T00:27:37,         14.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:38,2013/08/04T00:27:38,         11.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:42,2013/08/04T00:27:43,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:44,2013/08/04T00:27:44,         36.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:48,2013/08/04T00:27:48,         55.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:52,2013/08/04T00:27:52,         48.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:54,2013/08/04T00:27:54,          5.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:56,2013/08/04T00:27:56,         35.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:57,2013/08/04T00:27:57,          8.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:57,2013/08/04T00:27:59,          2.500,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:58,2013/08/04T00:27:58,          9.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:27:59,2013/08/04T00:27:59,         42.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:00,2013/08/04T00:28:00,          7.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:00,2013/08/04T00:28:01,          4.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:01,2013/08/04T00:28:01,          5.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:02,2013/08/04T00:28:02,         41.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:03,2013/08/04T00:28:33,          0.533,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:04,2013/08/04T00:28:04,         41.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:05,2013/08/04T00:28:05,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:05,2013/08/04T00:28:06,          4.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:08,2013/08/04T00:28:10,          7.500,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:12,2013/08/04T00:28:12,         42.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:13,2013/08/04T00:28:13,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:27,2013/08/04T00:28:28,          9.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:30,2013/08/04T00:28:30,         13.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:36,2013/08/04T00:28:36,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:37,2013/08/04T00:28:37,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:44,2013/08/04T00:28:44,         43.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:45,2013/08/04T00:28:45,         44.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:51,2013/08/04T00:28:51,          8.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:51,2013/08/04T00:28:52,         39.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:53,2013/08/04T00:28:53,         51.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:54,2013/08/04T00:29:00,          0.833,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:55,2013/08/04T00:28:55,         49.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:57,2013/08/04T00:29:00,          1.667,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:28:59,2013/08/04T00:28:59,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T00:29:00,2013/08/04T00:29:00,          9.000,
