                              10.5.10.2,                               10.5.7.2,2013/08/04T00:26:41,2013/08/04T00:26:41,         53.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         43.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:26:53,2013/08/04T00:26:59,          0.667,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:26:57,2013/08/04T00:26:58,         16.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:03,2013/08/04T00:27:03,         39.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:03,2013/08/04T00:27:04,         52.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:08,2013/08/04T00:27:08,         40.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:10,2013/08/04T00:27:10,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:13,2013/08/04T00:27:13,         82.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:14,2013/08/04T00:27:14,         47.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:17,2013/08/04T00:27:18,         52.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:18,2013/08/04T00:27:19,          9.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:19,2013/08/04T00:27:19,          5.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:19,2013/08/04T00:27:25,          0.667,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:21,2013/08/04T00:27:21,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:24,2013/08/04T00:27:24,         40.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:31,2013/08/04T00:27:31,         41.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:33,2013/08/04T00:27:33,         41.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:33,2013/08/04T00:27:34,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:39,2013/08/04T00:27:39,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:47,2013/08/04T00:27:47,         14.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:48,2013/08/04T00:27:48,         84.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:01,2013/08/04T00:28:01,         41.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:03,2013/08/04T00:28:03,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:08,2013/08/04T00:28:08,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:10,2013/08/04T00:28:10,         45.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:13,2013/08/04T00:28:13,         12.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:14,2013/08/04T00:28:14,         37.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:18,2013/08/04T00:28:18,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:21,2013/08/04T00:28:21,         18.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:22,2013/08/04T00:28:22,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:25,2013/08/04T00:28:25,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:28,2013/08/04T00:28:28,          9.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:28,2013/08/04T00:28:29,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:31,2013/08/04T00:28:32,          7.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:37,2013/08/04T00:28:37,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:39,2013/08/04T00:28:39,         34.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:40,2013/08/04T00:28:40,         19.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:41,2013/08/04T00:28:41,         43.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:42,2013/08/04T00:28:43,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:43,2013/08/04T00:28:43,         47.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:47,2013/08/04T00:28:48,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:48,2013/08/04T00:28:48,         43.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:52,2013/08/04T00:28:52,         45.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:53,2013/08/04T00:28:53,          7.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:53,2013/08/04T00:28:54,         45.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:57,2013/08/04T00:28:57,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:28:59,2013/08/04T00:28:59,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:04,2013/08/04T00:29:04,         43.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:05,2013/08/04T00:29:07,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:09,2013/08/04T00:29:09,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:15,2013/08/04T00:29:15,         39.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:22,2013/08/04T00:29:22,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:23,2013/08/04T00:29:24,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:24,2013/08/04T00:29:24,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:25,2013/08/04T00:29:26,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:30,2013/08/04T00:29:30,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:31,2013/08/04T00:29:31,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:33,2013/08/04T00:29:33,         14.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:35,2013/08/04T00:29:35,          5.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:35,2013/08/04T00:29:36,          5.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:36,2013/08/04T00:29:36,          3.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:37,2013/08/04T00:29:47,          0.800,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:38,2013/08/04T00:29:38,         14.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:39,2013/08/04T00:29:39,         45.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:42,2013/08/04T00:29:42,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:47,2013/08/04T00:29:47,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:49,2013/08/04T00:29:49,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:51,2013/08/04T00:29:51,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:52,2013/08/04T00:29:52,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:55,2013/08/04T00:29:55,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:29:58,2013/08/04T00:29:58,         42.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:30:00,2013/08/04T00:30:00,         45.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:30:03,2013/08/04T00:30:03,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:30:03,2013/08/04T00:30:33,          0.400,
                              10.5.10.2,                               10.5.7.2,2013/08/04T00:30:05,2013/08/04T00:30:05,         43.000,
